sl,year,statename,lcname,candidate,sex,age,category,party,general,postal,total,overpolled,electors,rank,win,alliance
499,2008,NCT of Delhi,Madipur (SC),KAILASH SANKLA,M,42,SC,BJP,32158,8,32166,38.53,147744,2,0,BJP
500,2008,NCT of Delhi,Madipur (SC),MOHAN LAL,M,37,SC,BSP,9337,0,9337,11.18,147744,3,0,OTHERS
501,2008,NCT of Delhi,Madipur (SC),MALA RAM,M,34,SC,IND,649,0,649,0.78,138181,4,0,OTHERS
502,2008,NCT of Delhi,Madipur (SC),NIRMALA,F,28,SC,IND,392,0,392,0.47,138181,5,0,OTHERS
503,2008,NCT of Delhi,Madipur (SC),DEEPAK KUMAR,M,31,SC,IND,241,0,241,0.29,138181,6,0,OTHERS
507,2008,NCT of Delhi,Rajouri Garden,A DAYA NAND CHANDELA A,M,56,GEN,INC,31117,13,31130,37.58,146465,1,1,INC
508,2008,NCT of Delhi,Rajouri Garden,AVTAR SINGH HIT,M,64,GEN,SAD(M),31079,5,31084,37.53,146465,2,0,OTHERS
509,2008,NCT of Delhi,Rajouri Garden,DULI CHAND,M,48,GEN,NCP,15434,0,15434,18.63,146465,3,0,OTHERS
510,2008,NCT of Delhi,Rajouri Garden,SHAMSHER SINGH MEHENDI,M,49,GEN,BSP,1563,0,1563,1.89,146465,4,0,OTHERS
511,2008,NCT of Delhi,Rajouri Garden,VINOD SHARMA,M,35,GEN,IND,1469,0,1469,1.77,146465,5,0,OTHERS
512,2008,NCT of Delhi,Rajouri Garden,BALBIR SINGH BIR,M,74,GEN,IND,240,0,240,0.29,146465,6,0,OTHERS
513,2008,NCT of Delhi,Rajouri Garden,NAWAB SINGH,M,34,GEN,IND,227,0,227,0.27,146465,7,0,OTHERS
514,2008,NCT of Delhi,Rajouri Garden,BAHAR MIYA,M,40,GEN,RAM,220,0,220,0.27,146465,8,0,OTHERS
515,2008,NCT of Delhi,Rajouri Garden,RAJINDAR KUMAR,M,27,SC,IND,205,0,205,0.25,146465,9,0,OTHERS
516,2008,NCT of Delhi,Rajouri Garden,SARABJEET SINGH,M,26,GEN,IND,203,0,203,0.25,146465,10,0,OTHERS
517,2008,NCT of Delhi,Rajouri Garden,AMARJEET KAUR,F,43,GEN,BPC,169,0,169,0.2,146465,11,0,OTHERS
518,2008,NCT of Delhi,Rajouri Garden,AMIT CHANDELA,M,25,GEN,IND,124,0,124,0.15,114178,12,0,OTHERS
519,2008,NCT of Delhi,Rajouri Garden,DALJEET SINGH,M,36,GEN,IND,115,0,115,0.14,114178,13,0,OTHERS
520,2008,NCT of Delhi,Rajouri Garden,KULDEEP SINGH ANAND,M,40,GEN,IND,107,0,107,0.13,114178,14,0,OTHERS
521,2008,NCT of Delhi,Rajouri Garden,BHAGWAN DASS,M,43,GEN,HRS,98,0,98,0.12,114178,15,0,OTHERS
522,2008,NCT of Delhi,Rajouri Garden,AVTAR SINGH DIWAN,M,48,GEN,IND,86,0,86,0.1,114178,16,0,OTHERS
523,2008,NCT of Delhi,Rajouri Garden,JAI PRAKASH DHIMAN,M,42,GEN,IND,80,0,80,0.1,114178,17,0,OTHERS
524,2008,NCT of Delhi,Rajouri Garden,JAI PRAKASH LOHIA,M,33,GEN,IND,69,0,69,0.08,114178,18,0,OTHERS
525,2008,NCT of Delhi,Rajouri Garden,GAJENDRA YADAV,M,32,GEN,IND,61,0,61,0.07,114178,19,0,OTHERS
526,2008,NCT of Delhi,Rajouri Garden,OM PRAKASH,M,39,GEN,IND,54,0,54,0.07,114178,20,0,OTHERS
527,2008,NCT of Delhi,Rajouri Garden,VIJENDER,M,36,GEN,IND,50,0,50,0.06,114178,21,0,OTHERS
528,2008,NCT of Delhi,Rajouri Garden,RASID KHAN,M,27,GEN,IND,45,0,45,0.05,114178,22,0,OTHERS
532,2008,NCT of Delhi,Hari Nagar,HARSHARAN SINGH BALLI,M,60,GEN,BJP,51334,30,51364,62.67,142978,1,1,BJP
533,2008,NCT of Delhi,Hari Nagar,RAMESH LAMBA,M,59,GEN,INC,22598,8,22606,27.58,142978,2,0,INC
534,2008,NCT of Delhi,Hari Nagar,PREM SHARMA,M,36,GEN,BSP,6463,1,6464,7.89,142978,3,0,OTHERS
544,2008,NCT of Delhi,Hari Nagar,SUMIT CHUGH,M,26,GEN,IND,401,0,401,0.49,142978,4,0,OTHERS
545,2008,NCT of Delhi,Hari Nagar,FEROZ KHAN,M,44,GEN,JD(U),287,0,287,0.35,142978,5,0,OTHERS
546,2008,NCT of Delhi,Hari Nagar,RAJINDER SINGH,M,78,GEN,IND,212,0,212,0.26,142978,6,0,OTHERS
547,2008,NCT of Delhi,Hari Nagar,JASVINDER SINGH,M,47,GEN,IND,198,0,198,0.24,142978,7,0,OTHERS
548,2008,NCT of Delhi,Hari Nagar,SATISH KAPOOR,M,56,GEN,IND,175,0,175,0.21,142978,8,0,OTHERS
549,2008,NCT of Delhi,Hari Nagar,GURPREET SINGH,M,35,GEN,IND,133,0,133,0.16,142978,9,0,OTHERS
550,2008,NCT of Delhi,Hari Nagar,CHANDRA PRAKASH,M,30,GEN,IND,114,0,114,0.14,170590,10,0,OTHERS
554,2008,NCT of Delhi,Tilak Nagar,O P BABBAR,M,70,GEN,BJP,38314,6,38320,52.33,162590,1,1,BJP
555,2008,NCT of Delhi,Tilak Nagar,DR. ANITA BABBAR,F,44,GEN,INC,26196,6,26202,35.78,162590,2,0,INC
556,2008,NCT of Delhi,Tilak Nagar,AJIT SINGH CHADHA,M,62,GEN,IND,4031,0,4031,5.5,162590,3,0,OTHERS
557,2008,NCT of Delhi,Tilak Nagar,ARVINDER SINGH MAKEN,M,35,GEN,BSP,2580,0,2580,3.52,162590,4,0,OTHERS
558,2008,NCT of Delhi,Tilak Nagar,HERRY GULATI,M,28,GEN,IND,486,0,486,0.66,162590,5,0,OTHERS
559,2008,NCT of Delhi,Tilak Nagar,SURENDER YADAV,M,28,GEN,IND,380,0,380,0.52,162590,6,0,OTHERS
560,2008,NCT of Delhi,Tilak Nagar,JAI BHAGWAN,M,50,GEN,MBP,274,0,274,0.37,162590,7,0,OTHERS
561,2008,NCT of Delhi,Tilak Nagar,ANITA BABBAR,F,43,GEN,IND,206,0,206,0.28,162590,8,0,OTHERS
562,2008,NCT of Delhi,Tilak Nagar,SHIV KUMAR TYAGI,M,57,GEN,IND,196,0,196,0.27,162590,9,0,OTHERS
563,2008,NCT of Delhi,Tilak Nagar,SUDHA POPLI,F,46,GEN,IND,155,0,155,0.21,162644,10,0,OTHERS
564,2008,NCT of Delhi,Tilak Nagar,DINESH JAIN,M,62,GEN,IND,148,0,148,0.2,162644,11,0,OTHERS
565,2008,NCT of Delhi,Tilak Nagar,KULDEEP SINGH ANAND,M,40,GEN,IND,114,0,114,0.16,162644,12,0,OTHERS
566,2008,NCT of Delhi,Tilak Nagar,GURVINDER KAUR,F,33,GEN,IND,79,0,79,0.11,162644,13,0,OTHERS
567,2008,NCT of Delhi,Tilak Nagar,DEEPAK GUPTA,M,30,GEN,IND,61,0,61,0.08,162644,14,0,OTHERS
571,2008,NCT of Delhi,Janakpuri,PROF JAGDISH MUKHI,M,65,GEN,BJP,50624,31,50655,57.15,155484,1,1,BJP
572,2008,NCT of Delhi,Janakpuri,DEEPAK ARORA,M,40,GEN,INC,33191,12,33203,37.46,155484,2,0,INC
573,2008,NCT of Delhi,Janakpuri,PREM CHAND DESWAL,M,44,GEN,BSP,2857,0,2857,3.22,155484,3,0,OTHERS
574,2008,NCT of Delhi,Janakpuri,SHIV KUMAR,M,37,GEN,IND,522,0,522,0.59,155484,4,0,OTHERS
575,2008,NCT of Delhi,Janakpuri,BHARAT PRASAD,M,42,GEN,IND,454,0,454,0.51,155484,5,0,OTHERS
576,2008,NCT of Delhi,Janakpuri,AAMIR ANJUM,M,34,GEN,SP,441,0,441,0.5,155484,6,0,OTHERS
577,2008,NCT of Delhi,Janakpuri,BALJIT SINGH,M,47,GEN,IND,163,0,163,0.18,155484,7,0,OTHERS
578,2008,NCT of Delhi,Janakpuri,DEEPAK ARORA,M,49,GEN,IND,141,0,141,0.16,155484,8,0,OTHERS
579,2008,NCT of Delhi,Janakpuri,HARISH CHANDRA JOSHI,M,47,GEN,ABHM,106,0,106,0.12,156477,9,0,OTHERS
580,2008,NCT of Delhi,Janakpuri,SIRAJUDDIN KHAN,M,48,GEN,LJP,99,0,99,0.11,156477,10,0,OTHERS
593,2008,NCT of Delhi,Vikaspuri,NAND KISHORE,M,38,GEN,INC,47810,9,47819,34.96,145552,1,1,INC
594,2008,NCT of Delhi,Vikaspuri,KRISHAN GAHLOT,M,35,GEN,BJP,46855,21,46876,34.27,145552,2,0,BJP
595,2008,NCT of Delhi,Vikaspuri,ASHOK KUMAR LAKRA,M,36,GEN,BSP,16759,6,16765,12.26,145552,3,0,OTHERS
596,2008,NCT of Delhi,Vikaspuri,SANJAY SINGH,M,34,GEN,IND,9632,2,9634,7.04,145552,4,0,OTHERS
597,2008,NCT of Delhi,Vikaspuri,RAVINDER SINGH,M,27,GEN,IND,7158,0,7158,5.23,145552,5,0,OTHERS
598,2008,NCT of Delhi,Vikaspuri,BRIJ BHUSHAN,M,35,GEN,NCP,2687,0,2687,1.96,145552,6,0,OTHERS
599,2008,NCT of Delhi,Vikaspuri,SHIV PRASAD,M,43,GEN,IND,1045,0,1045,0.76,145552,7,0,OTHERS
600,2008,NCT of Delhi,Vikaspuri,ITWARI,M,42,GEN,SP,1035,0,1035,0.76,145552,8,0,OTHERS
601,2008,NCT of Delhi,Vikaspuri,SUNIL KUMAR,M,33,GEN,IND,780,0,780,0.57,145552,9,0,OTHERS
602,2008,NCT of Delhi,Vikaspuri,PREM VERMA,M,46,GEN,IND,537,0,537,0.39,144463,10,0,OTHERS
603,2008,NCT of Delhi,Vikaspuri,SHUSHIL KUMAR SHARMA,M,42,GEN,IND,385,0,385,0.28,144463,11,0,OTHERS
604,2008,NCT of Delhi,Vikaspuri,VIRENDER KUMAR,M,28,GEN,IND,383,0,383,0.28,144463,12,0,OTHERS
605,2008,NCT of Delhi,Vikaspuri,SATISH KUMAR,M,40,GEN,IND,291,0,291,0.21,144463,13,0,OTHERS
606,2008,NCT of Delhi,Vikaspuri,VINOD KUMAR,M,33,GEN,IND,271,0,271,0.2,144463,14,0,OTHERS
607,2008,NCT of Delhi,Vikaspuri,BISHAN SINGH,M,49,GEN,IND,238,0,238,0.17,144463,15,0,OTHERS
608,2008,NCT of Delhi,Vikaspuri,MAHENDER KUMAR,M,43,GEN,BJSH,205,0,205,0.15,144463,16,0,OTHERS
609,2008,NCT of Delhi,Vikaspuri,DILBAG SINGH,M,53,GEN,IND,186,0,186,0.14,144463,17,0,OTHERS
610,2008,NCT of Delhi,Vikaspuri,INDERJEET VERMA,M,44,GEN,IND,184,0,184,0.13,144463,18,0,OTHERS
611,2008,NCT of Delhi,Vikaspuri,BHOPAL SINGH,M,33,GEN,ABHM,147,1,148,0.11,144463,19,0,OTHERS
612,2008,NCT of Delhi,Vikaspuri,JITENDER SINGH,M,27,GEN,RSMD,147,0,147,0.11,144463,20,0,OTHERS
616,2008,NCT of Delhi,Uttam Nagar,MUKESH SHARMA,M,43,GEN,INC,46758,7,46765,46.03,147481,1,1,INC
617,2008,NCT of Delhi,Uttam Nagar,PAWAN SHARMA,M,49,GEN,BJP,39571,11,39582,38.96,147481,2,0,BJP
618,2008,NCT of Delhi,Uttam Nagar,RAJENDER BHARDWAJ,M,56,GEN,NCP,8064,0,8064,7.94,147481,3,0,OTHERS
619,2008,NCT of Delhi,Uttam Nagar,OM PRAKASH JAIN,M,35,GEN,BSP,5068,3,5071,4.99,147481,4,0,OTHERS
620,2008,NCT of Delhi,Uttam Nagar,RAJ BALA,F,52,GEN,IND,524,0,524,0.52,147481,5,0,OTHERS
621,2008,NCT of Delhi,Uttam Nagar,RAMESH KUMAR JAIN,M,32,GEN,IND,386,0,386,0.38,147481,6,0,OTHERS
622,2008,NCT of Delhi,Uttam Nagar,NAVEEN KUMAR,M,30,GEN,IND,243,0,243,0.24,147481,7,0,OTHERS
623,2008,NCT of Delhi,Uttam Nagar,M R SHARMA,M,54,GEN,SP,205,0,205,0.2,147481,8,0,OTHERS
624,2008,NCT of Delhi,Uttam Nagar,PREM CHAND PRAJAPATI,M,27,GEN,IJP,194,0,194,0.19,147481,9,0,OTHERS
625,2008,NCT of Delhi,Uttam Nagar,ZILEY SINGH,M,60,GEN,IND,145,0,145,0.14,127177,10,0,OTHERS
626,2008,NCT of Delhi,Uttam Nagar,KISHAN LAL VERMA,M,34,GEN,RTKP,142,0,142,0.14,127177,11,0,OTHERS
627,2008,NCT of Delhi,Uttam Nagar,SITA SHARMA,F,43,GEN,LJP,109,0,109,0.11,127177,12,0,OTHERS
628,2008,NCT of Delhi,Uttam Nagar,OM BIR,M,30,GEN,IND,94,0,94,0.09,127177,13,0,OTHERS
629,2008,NCT of Delhi,Uttam Nagar,SHOBHA KAUSHIK,F,43,GEN,BPC,78,0,78,0.08,127177,14,0,OTHERS
642,2008,NCT of Delhi,Dwarka,MAHABAL MISHRA,M,54,GEN,INC,43607,1,43608,52.33,152797,1,1,INC
643,2008,NCT of Delhi,Dwarka,PARDUYMN RAJPUT,M,45,GEN,BJP,29625,2,29627,35.56,152797,2,0,BJP
644,2008,NCT of Delhi,Dwarka,BABU RAM,M,43,GEN,BSP,7806,0,7806,9.37,152797,3,0,OTHERS
645,2008,NCT of Delhi,Dwarka,MUKESH KUMAR,M,42,GEN,CPM,553,0,553,0.66,152797,4,0,OTHERS
647,2008,NCT of Delhi,Dwarka,SUBHASH KUMAR,M,35,GEN,IND,400,0,400,0.48,152797,5,0,OTHERS
649,2008,NCT of Delhi,Dwarka,JOGENDRA SINGH,M,40,GEN,RJD,350,0,350,0.42,152797,6,0,OTHERS
650,2008,NCT of Delhi,Dwarka,KAPIL KUMAR,M,40,GEN,SP,225,0,225,0.27,152797,7,0,OTHERS
651,2008,NCT of Delhi,Dwarka,RAJESH SINHA,M,34,GEN,IND,159,0,159,0.19,152797,8,0,OTHERS
652,2008,NCT of Delhi,Dwarka,MUKESH KUMAR,M,30,GEN,IND,150,0,150,0.18,152797,9,0,OTHERS
653,2008,NCT of Delhi,Dwarka,OM PRAKASH INDORA,M,37,SC,IND,125,0,125,0.15,152797,10,0,OTHERS
654,2008,NCT of Delhi,Dwarka,RAMESH KUMAR HOTLA,M,45,SC,IND,120,0,120,0.14,152797,11,0,OTHERS
655,2008,NCT of Delhi,Dwarka,BISHNU PATHAK,M,30,GEN,LJP,76,0,76,0.09,152797,12,0,OTHERS
656,2008,NCT of Delhi,Dwarka,MUKESH KUMAR,M,39,GEN,IND,69,0,69,0.08,152797,13,0,OTHERS
657,2008,NCT of Delhi,Dwarka,ANIL KUMAR SINGH,M,46,GEN,IND,57,0,57,0.07,152797,14,0,OTHERS
661,2008,NCT of Delhi,Matiala,SUMESH,M,35,GEN,INC,52405,6,52411,40.14,158219,1,1,INC
662,2008,NCT of Delhi,Matiala,KAMAL JEET,F,35,GEN,BJP,45772,10,45782,35.06,159175,2,0,BJP
663,2008,NCT of Delhi,Matiala,MANOJ BHARDWAJ,M,28,GEN,BSP,19441,1,19442,14.89,159175,3,0,OTHERS
664,2008,NCT of Delhi,Matiala,RAO SATVIR SINGH,M,43,GEN,IND,8882,1,8883,6.8,159175,4,0,OTHERS
665,2008,NCT of Delhi,Matiala,NIDHI MAHAJAN,F,38,GEN,BRSP,1224,0,1224,0.94,159909,5,0,OTHERS
666,2008,NCT of Delhi,Matiala,ANITA,F,39,GEN,SP,910,1,911,0.7,159909,6,0,OTHERS
667,2008,NCT of Delhi,Matiala,RANJEET SINGH,M,40,GEN,LJP,350,0,350,0.27,159909,7,0,OTHERS
668,2008,NCT of Delhi,Matiala,RAO RAMANAND,M,33,GEN,IND,270,0,270,0.21,159909,8,0,OTHERS
669,2008,NCT of Delhi,Matiala,RANDHIR SINGH,M,42,GEN,IND,269,0,269,0.21,159909,9,0,OTHERS
670,2008,NCT of Delhi,Matiala,O P SHARMA,M,62,GEN,IND,236,0,236,0.18,159909,10,0,OTHERS
671,2008,NCT of Delhi,Matiala,MOHAMAD MANJOOR,M,53,GEN,IND,236,0,236,0.18,159909,10,0,OTHERS
672,2008,NCT of Delhi,Matiala,RAJESH KUMAR DUBEY,M,32,GEN,VAJP,171,0,171,0.13,159909,12,0,OTHERS
673,2008,NCT of Delhi,Matiala,ANIL JINDAL,M,26,GEN,IND,148,0,148,0.11,159909,13,0,OTHERS
674,2008,NCT of Delhi,Matiala,MANS RAJ TYAGI,M,27,GEN,IND,129,0,129,0.1,159909,14,0,OTHERS
675,2008,NCT of Delhi,Matiala,POORAN SINGH,M,62,GEN,IND,107,0,107,0.08,168508,15,0,OTHERS
679,2008,NCT of Delhi,Najafgarh,BHARAT SINGH,M,31,GEN,IND,34015,13,34028,33.25,182944,1,1,OTHERS
680,2008,NCT of Delhi,Najafgarh,KANWAL SINGH YADAV,M,51,GEN,INC,22541,34,22575,22.06,182944,2,0,INC
681,2008,NCT of Delhi,Najafgarh,BIJANDER DUTT,M,44,GEN,BSP,18161,3,18164,17.75,182944,3,0,OTHERS
691,2008,NCT of Delhi,Najafgarh,RAJESH SHARMA,M,45,GEN,BJP,13566,10,13576,13.27,182944,4,0,BJP
692,2008,NCT of Delhi,Najafgarh,RANBIR SINGH KHARB,M,46,GEN,IND,11618,2,11620,11.36,182944,5,0,OTHERS
693,2008,NCT of Delhi,Najafgarh,SHYAM KUMAR,M,37,GEN,IND,585,0,585,0.57,182944,6,0,OTHERS
694,2008,NCT of Delhi,Najafgarh,RAMPHAL SHAOKIN,M,29,GEN,IND,541,0,541,0.53,182944,7,0,OTHERS
695,2008,NCT of Delhi,Najafgarh,DINESH KUMAR,M,38,GEN,IND,255,0,255,0.25,182944,8,0,OTHERS
696,2008,NCT of Delhi,Najafgarh,RAGHUNANDAN SHARMA,M,30,GEN,IND,252,0,252,0.25,182944,9,0,OTHERS
697,2008,NCT of Delhi,Najafgarh,OM PRAKASH SINGH,M,55,GEN,SP,215,0,215,0.21,182944,10,0,OTHERS
698,2008,NCT of Delhi,Najafgarh,VEDPAL SINGH,M,27,GEN,IND,210,0,210,0.21,182944,11,0,OTHERS
699,2008,NCT of Delhi,Najafgarh,RAJ KUMAR,M,39,GEN,IND,137,0,137,0.13,187622,12,0,OTHERS
700,2008,NCT of Delhi,Najafgarh,KRISHAN KUMAR,M,57,GEN,ABSP,105,0,105,0.1,187622,13,0,OTHERS
701,2008,NCT of Delhi,Najafgarh,JITENDER KUMAR,M,34,GEN,IND,65,0,65,0.06,187622,14,0,OTHERS
705,2008,NCT of Delhi,Bijwasan,SAT PRAKASH RANA,M,43,GEN,BJP,27418,9,27427,41.33,144614,1,1,BJP
706,2008,NCT of Delhi,Bijwasan,VIJAY SINGH LOCHAV,M,58,GEN,INC,25415,7,25422,38.31,144614,2,0,INC
707,2008,NCT of Delhi,Bijwasan,VINOD KUMAR YADAV,M,34,GEN,BSP,12505,1,12506,18.84,144614,3,0,OTHERS
708,2008,NCT of Delhi,Bijwasan,HARVINDER RANA,M,27,GEN,IND,642,0,642,0.97,144614,4,0,OTHERS
709,2008,NCT of Delhi,Bijwasan,SURESH CHAND,M,42,SC,LJP,370,0,370,0.56,151701,5,0,OTHERS
713,2008,NCT of Delhi,Palam,DHARAM DEV SOLANKI,M,57,GEN,BJP,40696,16,40712,44.12,190130,1,1,BJP
714,2008,NCT of Delhi,Palam,MAHENDER YADAV,M,58,GEN,INC,28104,15,28119,30.47,190130,2,0,INC
715,2008,NCT of Delhi,Palam,MADAN MOHAN,M,38,SC,BSP,21006,8,21014,22.77,190130,3,0,OTHERS
716,2008,NCT of Delhi,Palam,BHAIRAV DUTT DHYANI,M,65,GEN,CPI,659,0,659,0.71,190130,4,0,OTHERS
717,2008,NCT of Delhi,Palam,MAHESH KUMAR,M,33,GEN,IND,600,0,600,0.65,190130,5,0,OTHERS
718,2008,NCT of Delhi,Palam,CHANCHAL SHARMA,F,36,GEN,SAP,349,0,349,0.38,190130,6,0,OTHERS
719,2008,NCT of Delhi,Palam,MOHAR PAL SANKHLA,M,28,GEN,LJP,307,0,307,0.33,192649,7,0,OTHERS
720,2008,NCT of Delhi,Palam,PAWAN KUMAR,M,39,GEN,IND,259,0,259,0.28,192649,8,0,OTHERS
721,2008,NCT of Delhi,Palam,DEEPAK KUMAR,M,25,SC,RJAP,258,0,258,0.28,192649,9,0,OTHERS
725,2008,NCT of Delhi,Delhi Cantt,KARAN SINGH TANWAR,M,56,GEN,BJP,23684,12,23696,55.58,135691,1,1,BJP
726,2008,NCT of Delhi,Delhi Cantt,ASHOK AHUJA,M,57,GEN,INC,16429,6,16435,38.55,135691,2,0,INC
727,2008,NCT of Delhi,Delhi Cantt,SHRICHAND CHAUHAN,M,47,GEN,BSP,1492,0,1492,3.5,135691,3,0,OTHERS
728,2008,NCT of Delhi,Delhi Cantt,SANDEEP,M,35,GEN,IND,278,0,278,0.65,135691,4,0,OTHERS
729,2008,NCT of Delhi,Delhi Cantt,SANJAY MANGAL,M,39,GEN,IND,136,0,136,0.32,135691,5,0,OTHERS
730,2008,NCT of Delhi,Delhi Cantt,BAL KUMAR SINGH,M,42,GEN,IJP,113,0,113,0.27,135691,6,0,OTHERS
740,2008,NCT of Delhi,Delhi Cantt,ISHWAR SINGH JAKHAR,M,60,GEN,RRD,91,0,91,0.21,135691,7,0,OTHERS
741,2008,NCT of Delhi,Delhi Cantt,VINOD KUMAR,M,41,GEN,IND,73,0,73,0.17,135691,8,0,OTHERS
742,2008,NCT of Delhi,Delhi Cantt,ANITA RAJ SHARMA,F,42,GEN,NSCP,69,0,69,0.16,135691,9,0,OTHERS
743,2008,NCT of Delhi,Delhi Cantt,PREM RAVI,M,32,GEN,IND,61,0,61,0.14,135691,10,0,OTHERS
744,2008,NCT of Delhi,Delhi Cantt,RAMESH LOHIA,M,46,GEN,IND,42,0,42,0.1,135691,11,0,OTHERS
745,2008,NCT of Delhi,Delhi Cantt,NARESH KUMAR,M,38,GEN,IND,37,0,37,0.09,135691,12,0,OTHERS
746,2008,NCT of Delhi,Delhi Cantt,RAVINDER KUMAR TANWAR,M,43,GEN,IND,35,0,35,0.08,135691,13,0,OTHERS
747,2008,NCT of Delhi,Delhi Cantt,BHUPENDER ROHILA,M,43,GEN,IND,31,0,31,0.07,135691,14,0,OTHERS
748,2008,NCT of Delhi,Delhi Cantt,YOGINDER SINGH,M,30,GEN,IND,24,0,24,0.06,135691,15,0,OTHERS
749,2008,NCT of Delhi,Delhi Cantt,TANVIR SINGH DHAMA,M,34,GEN,IND,20,0,20,0.05,135691,16,0,OTHERS
753,2008,NCT of Delhi,Rajinder Nagar,RAMA KANT GOSWAMI,M,64,GEN,INC,29394,0,29394,40.78,136870,1,1,INC
754,2008,NCT of Delhi,Rajinder Nagar,ASHA YOGI,F,66,GEN,BJP,23988,0,23988,33.28,136870,2,0,BJP
755,2008,NCT of Delhi,Rajinder Nagar,TRILOK CHAND SHARMA,M,44,GEN,BSP,15871,0,15871,22.02,136870,3,0,OTHERS
756,2008,NCT of Delhi,Rajinder Nagar,BHAGWAN DAS,M,57,GEN,NCP,1344,0,1344,1.86,136870,4,0,OTHERS
757,2008,NCT of Delhi,Rajinder Nagar,SANJAY SEHRAWAT,M,31,GEN,IND,540,0,540,0.75,136870,5,0,OTHERS
758,2008,NCT of Delhi,Rajinder Nagar,CHHOTE LAL,M,41,SC,RSBP,261,0,261,0.36,142862,6,0,OTHERS
759,2008,NCT of Delhi,Rajinder Nagar,MAHENDER RAM,M,36,SC,IND,215,0,215,0.3,142862,7,0,OTHERS
760,2008,NCT of Delhi,Rajinder Nagar,SANJEEV KUMAR,M,39,GEN,IDP,130,0,130,0.18,142862,8,0,OTHERS
761,2008,NCT of Delhi,Rajinder Nagar,SANJAY KUMAR,M,37,GEN,SP,123,0,123,0.17,142862,9,0,OTHERS
762,2008,NCT of Delhi,Rajinder Nagar,AUGUST DAGAR,M,30,GEN,IND,91,0,91,0.13,142862,10,0,OTHERS
763,2008,NCT of Delhi,Rajinder Nagar,BHOJ KUMAR,M,57,GEN,JKNPP,68,0,68,0.09,142862,11,0,OTHERS
764,2008,NCT of Delhi,Rajinder Nagar,JITENDER SINGH,M,29,GEN,ABHM,52,0,52,0.07,142862,12,0,OTHERS
768,2008,NCT of Delhi,New Delhi,SHEILA DIKSHIT,F,70,GEN,INC,39746,32,39778,52.2,133482,1,1,INC
769,2008,NCT of Delhi,New Delhi,VIJAY JOLLY,M,48,GEN,BJP,25769,27,25796,33.85,133482,2,0,BJP
770,2008,NCT of Delhi,New Delhi,RAJIV SINGH,M,33,GEN,BSP,6178,1,6179,8.11,133482,3,0,OTHERS
771,2008,NCT of Delhi,New Delhi,BRIJ MOHAN UPRETI,M,44,GEN,IND,876,3,879,1.15,133482,4,0,OTHERS
772,2008,NCT of Delhi,New Delhi,RAMANAND MADHWAL,M,46,GEN,IND,666,0,666,0.87,133482,5,0,OTHERS
773,2008,NCT of Delhi,New Delhi,OM PRAKASH,M,52,SC,SP,497,1,498,0.65,133482,6,0,OTHERS
774,2008,NCT of Delhi,New Delhi,HARSH MALHOTRA,M,38,GEN,JKNPP,355,0,355,0.47,133482,7,0,OTHERS
775,2008,NCT of Delhi,New Delhi,ANITA SINGH,F,54,GEN,RKJP,298,0,298,0.39,133482,8,0,OTHERS
776,2008,NCT of Delhi,New Delhi,PRITHVI CHANDRA BAITHA,M,51,ST,IND,188,0,188,0.25,133482,9,0,OTHERS
777,2008,NCT of Delhi,New Delhi,HARIOM SHARMA,M,35,GEN,IND,179,0,179,0.23,133482,10,0,OTHERS
778,2008,NCT of Delhi,New Delhi,NIRUPMA SHARMA,F,41,GEN,IND,178,0,178,0.23,133482,11,0,OTHERS
779,2008,NCT of Delhi,New Delhi,MUKESH KUMAR SAXENA,M,48,GEN,ABHM,174,0,174,0.23,133482,12,0,OTHERS
789,2008,NCT of Delhi,New Delhi,KUSUM BAHL,F,51,GEN,IND,133,0,133,0.17,133482,13,0,OTHERS
790,2008,NCT of Delhi,New Delhi,PRADEEP KUMAR SINGH,M,30,GEN,LJP,122,0,122,0.16,133482,14,0,OTHERS
791,2008,NCT of Delhi,New Delhi,VED PAL SHASTRI,M,56,GEN,IND,98,0,98,0.13,171798,15,0,OTHERS
792,2008,NCT of Delhi,New Delhi,LILA DEVI,F,48,GEN,JD(U),95,0,95,0.12,171798,16,0,OTHERS
793,2008,NCT of Delhi,New Delhi,SHAKEEL AHMED,M,26,GEN,RBCP,89,0,89,0.12,171798,17,0,OTHERS
794,2008,NCT of Delhi,New Delhi,ABHISHEK KUMAR RAO,M,31,GEN,LKPT,77,0,77,0.1,171798,18,0,OTHERS
795,2008,NCT of Delhi,New Delhi,MOHAMAD TAHIR,M,32,GEN,AIMF,76,0,76,0.1,171798,19,0,OTHERS
796,2008,NCT of Delhi,New Delhi,NIRAJA JHA,F,31,GEN,RVNP,67,0,67,0.09,171798,20,0,OTHERS
797,2008,NCT of Delhi,New Delhi,PRITI VADERA,F,28,GEN,IND,63,0,63,0.08,171798,21,0,OTHERS
798,2008,NCT of Delhi,New Delhi,LAKSHMI BHARDWAJ,F,35,GEN,IND,60,0,60,0.08,171798,22,0,OTHERS
799,2008,NCT of Delhi,New Delhi,KALPANA GUPTA,F,25,GEN,RPI(A),57,0,57,0.07,171798,23,0,OTHERS
800,2008,NCT of Delhi,New Delhi,KARAM CHAND LATHWAL,M,42,GEN,BPC,53,0,53,0.07,171798,24,0,OTHERS
801,2008,NCT of Delhi,New Delhi,NIMMI SAYYED,F,31,GEN,NJD,45,0,45,0.06,171798,25,0,OTHERS
