id,year,statename,pcname,candidate,sex,party,total,polled,validv,electors,polled,pollperc,Rank,win,alliance
3234,1996,GUJARAT,AMRELI,DILEEP SANGHANI,M,BJP,223548,62.90%,355389,805749,363412,45.10%,1,1,BJP
3235,1996,GUJARAT,AMRELI,NAVINCHANDRA RAVANI,M,INC,115179,32.41%,355389,805749,363412,45.10%,2,0,OTHERS
3236,1996,GUJARAT,AMRELI,BHISARIYA BAVKUBHAI BHAYABHAI,M,IND,2145,0.60%,355389,805749,363412,45.10%,3,0,OTHERS
3237,1996,GUJARAT,AMRELI,BABARIYA DEVJIBHAI NATHUBHAI,M,IND,1947,0.55%,355389,805749,363412,45.10%,4,0,OTHERS
3238,1996,GUJARAT,AMRELI,KUBDAVALA PARSHOTAMBHAI MOHANBHAI PATEL,M,SP,1808,0.51%,355389,805749,363412,45.10%,5,0,NATIONAL FRONT
3239,1996,GUJARAT,AMRELI,MAHIDA UGABHAI RUPABHAI,M,IND,1720,0.48%,355389,805749,363412,45.10%,6,0,OTHERS
3240,1996,GUJARAT,AMRELI,MADHVANI RAJESHKUMAR MANILAL,M,IND,1582,0.45%,355389,805749,363412,45.10%,7,0,OTHERS
3241,1996,GUJARAT,AMRELI,BORISAGAR HITESHBHAI NARANBHAI,M,IND,1023,0.29%,355389,805749,363412,45.10%,8,0,OTHERS
3242,1996,GUJARAT,AMRELI,KAKADIYA PRAVIN POPATBHAI,M,IND,913,0.26%,355389,805749,363412,45.10%,9,0,OTHERS
3243,1996,GUJARAT,AMRELI,DHAKANI HASMUKHBHAI BABUBHAI,M,SAP,911,0.26%,355389,805749,363412,45.10%,10,0,BJP AFFILIATED
3244,1996,GUJARAT,AMRELI,SOLANKI JAYANTIBHAI BACHUBHAI,M,IND,767,0.22%,355389,805749,363412,45.10%,11,0,OTHERS
3245,1996,GUJARAT,AMRELI,GAJERA UKABHAI VALJIBHAI,M,IND,692,0.19%,355389,805749,363412,45.10%,12,0,OTHERS
3246,1996,GUJARAT,AMRELI,KHUMAN TAPUBHAI PATABHAI,M,IND,646,0.18%,355389,805749,363412,45.10%,13,0,OTHERS
3247,1996,GUJARAT,AMRELI,JADAV NARSASHI NATHUBHAI,M,IND,487,0.14%,355389,805749,363412,45.10%,14,0,OTHERS
3248,1996,GUJARAT,AMRELI,SORATHIYA JAMALBHAI ALARAKHBHAI,M,IND,475,0.13%,355389,805749,363412,45.10%,15,0,OTHERS
3249,1996,GUJARAT,AMRELI,GADHIYA HARESHBHAI MANUBHAI,M,IND,370,0.10%,355389,805749,363412,45.10%,16,0,OTHERS
3250,1996,GUJARAT,AMRELI,VEKARIYA MANSUKHBHAI DEVRAJBHAI,M,IND,348,0.10%,355389,805749,363412,45.10%,17,0,OTHERS
3251,1996,GUJARAT,AMRELI,MUKUNDRAI BALASHANKAR PANDYA,M,IND,335,0.09%,355389,805749,363412,45.10%,18,0,OTHERS
3252,1996,GUJARAT,AMRELI,SAVJIBHAI DAYABHAI VALA,M,IND,312,0.09%,355389,805749,363412,45.10%,19,0,OTHERS
3253,1996,GUJARAT,AMRELI,VALODARA VAJUBHAI JIVABHAI,M,IND,181,0.05%,355389,805749,363412,45.10%,20,0,OTHERS
3254,1996,GUJARAT,BHAVNAGAR,RAJENDRASINH GHANSHYAMSINH RANA,M,BJP,149177,34.72%,429639,949885,441164,46.44%,1,1,BJP
3255,1996,GUJARAT,BHAVNAGAR,PURSHOTTAM ODHAVJI SOLANKI,M,IND,141406,32.91%,429639,949885,441164,46.44%,2,0,OTHERS
3256,1996,GUJARAT,BHAVNAGAR,GOHIL DILIPSINH AJITSINH,M,INC,102212,23.79%,429639,949885,441164,46.44%,3,0,OTHERS
3257,1996,GUJARAT,BHAVNAGAR,MOHANBHAI D PATEL,M,JD,5649,1.31%,429639,949885,441164,46.44%,4,0,NATIONAL FRONT
3258,1996,GUJARAT,BHAVNAGAR,CHAUHAN BACHUBHAI ARJAN,M,SHS,5597,1.30%,429639,949885,441164,46.44%,5,0,BJP AFFILIATED
3259,1996,GUJARAT,BHAVNAGAR,ARYADUT MANUBHAI,M,IND,2936,0.68%,429639,949885,441164,46.44%,6,0,OTHERS
3260,1996,GUJARAT,BHAVNAGAR,ANANTSINH PRABHATSINH SOLANKI,M,IND,1844,0.43%,429639,949885,441164,46.44%,7,0,OTHERS
3261,1996,GUJARAT,BHAVNAGAR,AHIR HAMUBHAI UNADBHAI,M,IND,1700,0.40%,429639,949885,441164,46.44%,8,0,OTHERS
3262,1996,GUJARAT,BHAVNAGAR,KASAMBHAI SAIYAD,M,IND,1538,0.36%,429639,949885,441164,46.44%,9,0,OTHERS
3263,1996,GUJARAT,BHAVNAGAR,JJ ZALA,M,IND,1534,0.36%,429639,949885,441164,46.44%,10,0,OTHERS
3264,1996,GUJARAT,BHAVNAGAR,LATTABEN ASHOKKUMAR SHUKLA,F,IND,1459,0.34%,429639,949885,441164,46.44%,11,0,OTHERS
3265,1996,GUJARAT,BHAVNAGAR,MEHTA SURESHCHANDRA NATWARLAL,M,IND,1390,0.32%,429639,949885,441164,46.44%,12,0,OTHERS
3266,1996,GUJARAT,BHAVNAGAR,HARSHAD MAKWANA,M,IND,1375,0.32%,429639,949885,441164,46.44%,13,0,OTHERS
3267,1996,GUJARAT,BHAVNAGAR,RATHOD NATUBHAI SAMJIBHAI,M,IND,1326,0.31%,429639,949885,441164,46.44%,14,0,OTHERS
3268,1996,GUJARAT,BHAVNAGAR,TARMAMAD DOKADIYA,M,IND,1094,0.25%,429639,949885,441164,46.44%,15,0,OTHERS
3269,1996,GUJARAT,BHAVNAGAR,VAGHANI JIVRAJ MANJIBHAI,M,IND,848,0.20%,429639,949885,441164,46.44%,16,0,OTHERS
3270,1996,GUJARAT,BHAVNAGAR,RAMESH MATHURBHAI BARAIYA,M,IND,838,0.20%,429639,949885,441164,46.44%,17,0,OTHERS
3271,1996,GUJARAT,BHAVNAGAR,DINESHKUMAR DAMJIBHAI PIPALIYA,M,IND,794,0.18%,429639,949885,441164,46.44%,18,0,OTHERS
3272,1996,GUJARAT,BHAVNAGAR,MANJIBHAI JIVABHAI NAVADIYA,M,IND,685,0.16%,429639,949885,441164,46.44%,19,0,OTHERS
3273,1996,GUJARAT,BHAVNAGAR,SANT RAMDASJI GURUSUNDARDASJI,M,IND,662,0.15%,429639,949885,441164,46.44%,20,0,OTHERS
3274,1996,GUJARAT,BHAVNAGAR,CHINMAY PATEL,M,ABJS,657,0.15%,429639,949885,441164,46.44%,21,0,OTHERS
3275,1996,GUJARAT,BHAVNAGAR,KUKAREJA LEKHRAJ GOKALDAS,M,IND,648,0.15%,429639,949885,441164,46.44%,22,0,OTHERS
3276,1996,GUJARAT,BHAVNAGAR,ARJUN B NETARWALA,M,RPI,584,0.14%,429639,949885,441164,46.44%,23,0,OTHERS
3277,1996,GUJARAT,BHAVNAGAR,BABARIA HAMIRBHAI DEHABHAI,M,IND,488,0.11%,429639,949885,441164,46.44%,24,0,OTHERS
3278,1996,GUJARAT,BHAVNAGAR,DILIP B CHAUHAN,M,IND,486,0.11%,429639,949885,441164,46.44%,25,0,OTHERS
3279,1996,GUJARAT,BHAVNAGAR,PATEL LALLUBHAI VALLABBHAI,M,IND,456,0.11%,429639,949885,441164,46.44%,26,0,OTHERS
3280,1996,GUJARAT,BHAVNAGAR,CHHAGANBHAI KESHAVBHAI PATEL,M,IND,433,0.10%,429639,949885,441164,46.44%,27,0,OTHERS
3281,1996,GUJARAT,BHAVNAGAR,BHUPATBHAI FAKIWALA,M,IND,424,0.10%,429639,949885,441164,46.44%,28,0,OTHERS
3282,1996,GUJARAT,BHAVNAGAR,KABIR MANHARDAS ISHVARDAS,M,IND,423,0.10%,429639,949885,441164,46.44%,29,0,OTHERS
3283,1996,GUJARAT,BHAVNAGAR,USAMAN MANSURI,M,IND,402,0.09%,429639,949885,441164,46.44%,30,0,OTHERS
3284,1996,GUJARAT,BHAVNAGAR,MAVJIBHAI BHIKHABHAI DOOLERA,M,IND,230,0.05%,429639,949885,441164,46.44%,31,0,OTHERS
3285,1996,GUJARAT,BHAVNAGAR,MAKWANA NIRANJAN KANJIBHAI,M,IND,208,0.05%,429639,949885,441164,46.44%,32,0,OTHERS
3286,1996,GUJARAT,BHAVNAGAR,BANSIMAL MULANI RAILWAYWALA,M,IND,136,0.03%,429639,949885,441164,46.44%,33,0,OTHERS
3287,1996,GUJARAT,DHANDHUKA (SC),VARMA RATILAL KALIDAS,M,BJP,160303,51.38%,311991,976470,319475,32.72%,1,1,BJP
3288,1996,GUJARAT,DHANDHUKA (SC),CHAVADA MOTIBHAI MAVJIBHAI,M,INC,130074,41.69%,311991,976470,319475,32.72%,2,0,OTHERS
3289,1996,GUJARAT,DHANDHUKA (SC),YOGENDRA MAKAWANA,M,AIIC(T),6117,1.96%,311991,976470,319475,32.72%,3,0,OTHERS
3290,1996,GUJARAT,DHANDHUKA (SC),DAHYABHAI NATHUBHAI GODAVARIA,M,IND,2646,0.85%,311991,976470,319475,32.72%,4,0,OTHERS
3291,1996,GUJARAT,DHANDHUKA (SC),CHAUHAN MANOJKUMAR PARSOTTAMBHAI,M,BSP,2345,0.75%,311991,976470,319475,32.72%,5,0,BSP
3292,1996,GUJARAT,DHANDHUKA (SC),CHAVADA MOTIBHAI GAGABHAI,M,IND,2071,0.66%,311991,976470,319475,32.72%,6,0,OTHERS
3293,1996,GUJARAT,DHANDHUKA (SC),CHAUHAN GOVINDBHAI BHAVANBHAI,M,IND,1714,0.55%,311991,976470,319475,32.72%,7,0,OTHERS
3294,1996,GUJARAT,DHANDHUKA (SC),GOVIND BHAI JADAV (JGRAMJIBHAI),M,JD,1455,0.47%,311991,976470,319475,32.72%,8,0,NATIONAL FRONT
3295,1996,GUJARAT,DHANDHUKA (SC),ZALA JETHABHAI SAMABHAI,M,IND,1072,0.34%,311991,976470,319475,32.72%,9,0,OTHERS
3296,1996,GUJARAT,DHANDHUKA (SC),NARENDRA SANKHALIYA,M,SP,833,0.27%,311991,976470,319475,32.72%,10,0,NATIONAL FRONT
3297,1996,GUJARAT,DHANDHUKA (SC),MAKWANA KESHAVLAL KUBERBHAI,M,RPI,814,0.26%,311991,976470,319475,32.72%,11,0,OTHERS
3298,1996,GUJARAT,DHANDHUKA (SC),MANSUKHBHAI GULABBHAI MERAIYA,M,IND,691,0.22%,311991,976470,319475,32.72%,12,0,OTHERS
3299,1996,GUJARAT,DHANDHUKA (SC),MAKWANA ARJANBHAI KESARBHAI,M,IND,691,0.22%,311991,976470,319475,32.72%,12,0,OTHERS
3300,1996,GUJARAT,DHANDHUKA (SC),SINGAROTIYA MULSINH MOHANSINH,M,IND,580,0.19%,311991,976470,319475,32.72%,14,0,OTHERS
3301,1996,GUJARAT,DHANDHUKA (SC),RATHOD DALABHAI SAVABHAI,M,IND,390,0.13%,311991,976470,319475,32.72%,15,0,OTHERS
3302,1996,GUJARAT,DHANDHUKA (SC),PARMAR ANIL KUMAR BABULAL,M,IND,195,0.06%,311991,976470,319475,32.72%,16,0,OTHERS
3303,1996,GUJARAT,AHMEDABAD,HARIN PATHAK,M,BJP,210967,61.31%,344113,1279854,352150,27.51%,1,1,BJP
3304,1996,GUJARAT,AHMEDABAD,IRSHAD MIRZA,M,INC,112450,32.68%,344113,1279854,352150,27.51%,2,0,OTHERS
3305,1996,GUJARAT,AHMEDABAD,CHIMANBHAI MEHTA,M,IND,6605,1.92%,344113,1279854,352150,27.51%,3,0,OTHERS
3306,1996,GUJARAT,AHMEDABAD,UTSAV RANA,M,JD,3580,1.04%,344113,1279854,352150,27.51%,4,0,NATIONAL FRONT
3307,1996,GUJARAT,AHMEDABAD,RANJITSINH ZALA (LOK SEVAK),M,SP,1560,0.45%,344113,1279854,352150,27.51%,5,0,NATIONAL FRONT
3308,1996,GUJARAT,AHMEDABAD,PATEL BHIMJIBHAI CHHAGANBHAI,M,IND,864,0.25%,344113,1279854,352150,27.51%,6,0,OTHERS
3309,1996,GUJARAT,AHMEDABAD,DESAI MAHESHBHAI NARPATLAL (THARADWALA),M,IND,668,0.19%,344113,1279854,352150,27.51%,7,0,OTHERS
3310,1996,GUJARAT,AHMEDABAD,DEVESHBHAI GUNVANTLAL MODI,M,IND,667,0.19%,344113,1279854,352150,27.51%,8,0,OTHERS
3311,1996,GUJARAT,AHMEDABAD,PIRUBHAI MANSURI,M,AIIC(T),646,0.19%,344113,1279854,352150,27.51%,9,0,OTHERS
3312,1996,GUJARAT,AHMEDABAD,PRAJAPATI BIPINBHAI VITTHALBHAI,M,IND,505,0.15%,344113,1279854,352150,27.51%,10,0,OTHERS
3313,1996,GUJARAT,AHMEDABAD,MAHENDRAKUMAR BABUBHAI PARMAR,M,IND,423,0.12%,344113,1279854,352150,27.51%,11,0,OTHERS
3314,1996,GUJARAT,AHMEDABAD,GURKHA GHANSHYAMSINH KRISHNABAHADUR,M,RPI,412,0.12%,344113,1279854,352150,27.51%,12,0,OTHERS
3315,1996,GUJARAT,AHMEDABAD,PATEL VINUBHAI RAVJIBHAI,M,IND,403,0.12%,344113,1279854,352150,27.51%,13,0,OTHERS
3316,1996,GUJARAT,AHMEDABAD,CHRISTIAN BENTRIASBHAI NARSINHBHAI,M,IND,396,0.12%,344113,1279854,352150,27.51%,14,0,OTHERS
3317,1996,GUJARAT,AHMEDABAD,HARSHADBHAI DAHYABHAI PATEL,M,IND,355,0.10%,344113,1279854,352150,27.51%,15,0,OTHERS
3318,1996,GUJARAT,AHMEDABAD,MEDIPALLI LAXMINARAYAN YANKATAIYYA,M,IND,347,0.10%,344113,1279854,352150,27.51%,16,0,OTHERS
3319,1996,GUJARAT,AHMEDABAD,NARENDRA RAVAL (BAGASARAWALA),M,IND,346,0.10%,344113,1279854,352150,27.51%,17,0,OTHERS
3320,1996,GUJARAT,AHMEDABAD,ASHWINKUMAR CHHOTUSINH VAGHELA,M,IND,329,0.10%,344113,1279854,352150,27.51%,18,0,OTHERS
3321,1996,GUJARAT,AHMEDABAD,PARMAR BHARATKUMAR SHANKARBHAI,M,IND,279,0.08%,344113,1279854,352150,27.51%,19,0,OTHERS
3322,1996,GUJARAT,AHMEDABAD,VAGHELA RAVJIBHAI MAGANJI,M,IND,246,0.07%,344113,1279854,352150,27.51%,20,0,OTHERS
3323,1996,GUJARAT,AHMEDABAD,FARIDABANU J KHAN BHALAKJA,F,IND,246,0.07%,344113,1279854,352150,27.51%,20,0,OTHERS
3324,1996,GUJARAT,AHMEDABAD,KANTIBHAI SOMABHAI PATEL,M,IND,243,0.07%,344113,1279854,352150,27.51%,22,0,OTHERS
3325,1996,GUJARAT,AHMEDABAD,HK MAHAJAN,M,IND,232,0.07%,344113,1279854,352150,27.51%,23,0,OTHERS
3326,1996,GUJARAT,AHMEDABAD,SAIYAD IQBAL ESHARAT HUSSAIN,M,IND,214,0.06%,344113,1279854,352150,27.51%,24,0,OTHERS
3327,1996,GUJARAT,AHMEDABAD,SANGHVI PRAVINCHANDRA JIVANLAL,M,IND,211,0.06%,344113,1279854,352150,27.51%,25,0,OTHERS
3328,1996,GUJARAT,AHMEDABAD,SHANTILAL HIRAWALA,M,IND,177,0.05%,344113,1279854,352150,27.51%,26,0,OTHERS
3329,1996,GUJARAT,AHMEDABAD,PATEL RAMESHBHAI BABABHAI,M,IND,175,0.05%,344113,1279854,352150,27.51%,27,0,OTHERS
3330,1996,GUJARAT,AHMEDABAD,AHMADBHAI GANIBHAI VADNAGARWALA,M,IND,167,0.05%,344113,1279854,352150,27.51%,28,0,OTHERS
3331,1996,GUJARAT,AHMEDABAD,HARMAR JAYANAND DAVID,M,IND,120,0.03%,344113,1279854,352150,27.51%,29,0,OTHERS
3332,1996,GUJARAT,AHMEDABAD,LAKTHARWALA FAKIR MOHAMMEDKHAN RASULKHAN,M,IND,101,0.03%,344113,1279854,352150,27.51%,30,0,OTHERS
3333,1996,GUJARAT,AHMEDABAD,DINESH KISHANLAL RATHI,M,IND,95,0.03%,344113,1279854,352150,27.51%,31,0,OTHERS
3334,1996,GUJARAT,AHMEDABAD,PATANWALA GULABBHAI NURALIBHAI,M,IND,84,0.02%,344113,1279854,352150,27.51%,32,0,OTHERS
3335,1996,GUJARAT,GANDHINAGAR,ATALBIHARI VAJAPAYEE,M,BJP,323583,66.38%,487496,1752944,498010,28.41%,1,1,BJP
3336,1996,GUJARAT,GANDHINAGAR,POPATLAL V PATEL,M,INC,134711,27.63%,487496,1752944,498010,28.41%,2,0,OTHERS
3337,1996,GUJARAT,GANDHINAGAR,PATNI LAXMANBHAI FULJIBHAI,M,AIIC(T),3621,0.74%,487496,1752944,498010,28.41%,3,0,OTHERS
3338,1996,GUJARAT,GANDHINAGAR,DINESH SHAH,M,RSRP,3477,0.71%,487496,1752944,498010,28.41%,4,0,OTHERS
3339,1996,GUJARAT,GANDHINAGAR,PANDYA YOGESHBHAI RAMANBHAI,M,JD,2432,0.50%,487496,1752944,498010,28.41%,5,0,NATIONAL FRONT
3340,1996,GUJARAT,GANDHINAGAR,KANANI PURUSHOTTAMBHAI DEVJIBHAI (PATEL),M,ABJS,1736,0.36%,487496,1752944,498010,28.41%,6,0,OTHERS
3341,1996,GUJARAT,GANDHINAGAR,SANJAY MAGANBHAI BAROT,M,IND,1708,0.35%,487496,1752944,498010,28.41%,7,0,OTHERS
3342,1996,GUJARAT,GANDHINAGAR,BABUBHAI GALUBHAI PATNI,M,BSP,1677,0.34%,487496,1752944,498010,28.41%,8,0,BSP
3343,1996,GUJARAT,GANDHINAGAR,PATEL ARVINDBHAI UMEDBHAI,M,BHJS,1627,0.33%,487496,1752944,498010,28.41%,9,0,OTHERS
3344,1996,GUJARAT,GANDHINAGAR,YADAV RAMPRASHAD SHANTILAL,M,SP,1445,0.30%,487496,1752944,498010,28.41%,10,0,NATIONAL FRONT
3345,1996,GUJARAT,GANDHINAGAR,NATVARBHAI THAKOR,M,IND,1430,0.29%,487496,1752944,498010,28.41%,11,0,OTHERS
3346,1996,GUJARAT,GANDHINAGAR,SHAIKH IKBAL ABDULHUQ,M,IND,955,0.20%,487496,1752944,498010,28.41%,12,0,OTHERS
3347,1996,GUJARAT,GANDHINAGAR,RR PRAJAPATI,M,SAP,898,0.18%,487496,1752944,498010,28.41%,13,0,BJP AFFILIATED
3348,1996,GUJARAT,GANDHINAGAR,NAYANA BHATT,F,IND,892,0.18%,487496,1752944,498010,28.41%,14,0,OTHERS
3349,1996,GUJARAT,GANDHINAGAR,THAKOR FULSING JUGATSINH,M,IND,698,0.14%,487496,1752944,498010,28.41%,15,0,OTHERS
3350,1996,GUJARAT,GANDHINAGAR,FARIDABANU JAHANGIRKHAN PATHAN,F,IND,663,0.14%,487496,1752944,498010,28.41%,16,0,OTHERS
3351,1996,GUJARAT,GANDHINAGAR,JAYANTIBHAI MANGALBHAI PARMAR,M,IND,613,0.13%,487496,1752944,498010,28.41%,17,0,OTHERS
3352,1996,GUJARAT,GANDHINAGAR,DIPAKKUMAR PURUSHOTTAMDAS BRAHAMANIYA,M,IND,582,0.12%,487496,1752944,498010,28.41%,18,0,OTHERS
3353,1996,GUJARAT,GANDHINAGAR,PATEL RATILAL CHUNILAL,M,IND,546,0.11%,487496,1752944,498010,28.41%,19,0,OTHERS
3354,1996,GUJARAT,GANDHINAGAR,BHARATKUMAR RASIKLAL SHAH,M,IND,525,0.11%,487496,1752944,498010,28.41%,20,0,OTHERS
3355,1996,GUJARAT,GANDHINAGAR,THAKOR RAMCHANDRA NARAYANJI,M,IND,474,0.10%,487496,1752944,498010,28.41%,21,0,OTHERS
3356,1996,GUJARAT,GANDHINAGAR,RANA GHANSHAYAMSINH BHARTHUSINH,M,MSS,434,0.09%,487496,1752944,498010,28.41%,22,0,OTHERS
3357,1996,GUJARAT,GANDHINAGAR,SUNILBHAI SHAH,M,IND,393,0.08%,487496,1752944,498010,28.41%,23,0,OTHERS
3358,1996,GUJARAT,GANDHINAGAR,GUPTA PRAHALADBHAI RATILAL,M,IND,353,0.07%,487496,1752944,498010,28.41%,24,0,OTHERS
3359,1996,GUJARAT,GANDHINAGAR,RATHI DINESH KISHANLAL,M,IND,353,0.07%,487496,1752944,498010,28.41%,24,0,OTHERS
3360,1996,GUJARAT,GANDHINAGAR,MODI KIRTIKUMAR DASHARATHLAL,M,IND,326,0.07%,487496,1752944,498010,28.41%,26,0,OTHERS
3361,1996,GUJARAT,GANDHINAGAR,PANDYA PRADHUMAN DAHYABHAI,M,GJJP,266,0.05%,487496,1752944,498010,28.41%,27,0,OTHERS
3362,1996,GUJARAT,GANDHINAGAR,SANGHVI PRAVINCHANDRA JIVANLAL,M,IND,247,0.05%,487496,1752944,498010,28.41%,28,0,OTHERS
3363,1996,GUJARAT,GANDHINAGAR,SURESHCHANDRA LALJIBHAI PATEL,M,IND,240,0.05%,487496,1752944,498010,28.41%,29,0,OTHERS
3364,1996,GUJARAT,GANDHINAGAR,DABHI SHIVUBHA JAWANSING,M,IND,225,0.05%,487496,1752944,498010,28.41%,30,0,OTHERS
3365,1996,GUJARAT,GANDHINAGAR,MARCHANT JAGDEEPBHAI ARVINDBHAI,M,IND,204,0.04%,487496,1752944,498010,28.41%,31,0,OTHERS
3366,1996,GUJARAT,GANDHINAGAR,TIWARI KESARBEN MANOJBHAI,F,IND,162,0.03%,487496,1752944,498010,28.41%,32,0,OTHERS
3367,1996,GUJARAT,MEHSANA,DR AK PATEL,M,BJP,264740,56.30%,470268,1060992,478683,45.12%,1,1,BJP
3368,1996,GUJARAT,MEHSANA,PATEL MANILAL VIRCHANDDAS,M,INC,139589,29.68%,470268,1060992,478683,45.12%,2,0,OTHERS
3369,1996,GUJARAT,MEHSANA,THAKUR MATHURJI PUNJAJI,M,IND,42002,8.93%,470268,1060992,478683,45.12%,3,0,OTHERS
3370,1996,GUJARAT,MEHSANA,PRAJAPATI BABUBHAI AMBALAL,M,IND,1959,0.42%,470268,1060992,478683,45.12%,4,0,OTHERS
3371,1996,GUJARAT,MEHSANA,RAMESH KUMAR KHANCHAND MAKWANA,M,BSP,1524,0.32%,470268,1060992,478683,45.12%,5,0,BSP
3372,1996,GUJARAT,MEHSANA,PATEL RATILAL CHUNILAL,M,IND,1452,0.31%,470268,1060992,478683,45.12%,6,0,OTHERS
3373,1996,GUJARAT,MEHSANA,PANCHOTIYA SHARADDHABEN VITTHALDAS,F,JD,1351,0.29%,470268,1060992,478683,45.12%,7,0,NATIONAL FRONT
3374,1996,GUJARAT,MEHSANA,TRIVEDI GIJUBHAI GOVARDHANRAM,M,RSRP,1223,0.26%,470268,1060992,478683,45.12%,8,0,OTHERS
3375,1996,GUJARAT,MEHSANA,PATHAN IBRAHIMKHAN JIVANKHAN,M,IND,992,0.21%,470268,1060992,478683,45.12%,9,0,OTHERS
3376,1996,GUJARAT,MEHSANA,PATEL VITTHALBHAI KESHAVLAL,M,IND,986,0.21%,470268,1060992,478683,45.12%,10,0,OTHERS
3377,1996,GUJARAT,MEHSANA,PATEL DASHARATHBHAI SOMADAS,M,IND,968,0.21%,470268,1060992,478683,45.12%,11,0,OTHERS
3378,1996,GUJARAT,MEHSANA,KADIA RAVISHANKAR HIRABHAI,M,IND,941,0.20%,470268,1060992,478683,45.12%,12,0,OTHERS
3379,1996,GUJARAT,MEHSANA,GARASIYA LAXMANJI MEKSANJI,M,ABJS,934,0.20%,470268,1060992,478683,45.12%,13,0,OTHERS
3380,1996,GUJARAT,MEHSANA,VAGHARI GOVABHAI HARIBHAI,M,IND,888,0.19%,470268,1060992,478683,45.12%,14,0,OTHERS
3381,1996,GUJARAT,MEHSANA,DESAI MOTIBHAI KUNVARJIBHAI,M,SAP,865,0.18%,470268,1060992,478683,45.12%,15,0,BJP AFFILIATED
3382,1996,GUJARAT,MEHSANA,CHAUDHARY MANILAL MOTIBHAI,M,IND,858,0.18%,470268,1060992,478683,45.12%,16,0,OTHERS
3383,1996,GUJARAT,MEHSANA,PRAJAPATI ASHOKKUMAR NATHALAL,M,IND,735,0.16%,470268,1060992,478683,45.12%,17,0,OTHERS
3384,1996,GUJARAT,MEHSANA,THAKOR CHUNAJI LAKHAJI,M,AIIC(T),725,0.15%,470268,1060992,478683,45.12%,18,0,OTHERS
3385,1996,GUJARAT,MEHSANA,DABHI JASHVANTSINH AMARSINH,M,IND,708,0.15%,470268,1060992,478683,45.12%,19,0,OTHERS
3386,1996,GUJARAT,MEHSANA,CHAVADA JASHAVANTSINH JUVANSINH,M,IND,665,0.14%,470268,1060992,478683,45.12%,20,0,OTHERS
3387,1996,GUJARAT,MEHSANA,DASADIYA IBRAHIMBHAI ALADBHAI,M,IND,652,0.14%,470268,1060992,478683,45.12%,21,0,OTHERS
3388,1996,GUJARAT,MEHSANA,RAVAL MELABHAI RAVABHAI,M,IND,648,0.14%,470268,1060992,478683,45.12%,22,0,OTHERS
3389,1996,GUJARAT,MEHSANA,PATEL PRAHLADBHAI HARGOVANDAS,M,IND,615,0.13%,470268,1060992,478683,45.12%,23,0,OTHERS
3390,1996,GUJARAT,MEHSANA,NASIBKHAN PATHAN,M,BMSM,600,0.13%,470268,1060992,478683,45.12%,24,0,OTHERS
3391,1996,GUJARAT,MEHSANA,DABHI SHIVUBHA JAVANSINH,M,IND,553,0.12%,470268,1060992,478683,45.12%,25,0,OTHERS
3392,1996,GUJARAT,MEHSANA,SONI RAMESHKUMAR KESHAVLAL,M,IND,509,0.11%,470268,1060992,478683,45.12%,26,0,OTHERS
3393,1996,GUJARAT,MEHSANA,MAHESHVRI HARISHKUMAR CHATURBHUJ,M,IND,482,0.10%,470268,1060992,478683,45.12%,27,0,OTHERS
3394,1996,GUJARAT,MEHSANA,PRAJAPATI AMARATBHAI AMBALAL,M,IND,481,0.10%,470268,1060992,478683,45.12%,28,0,OTHERS
3395,1996,GUJARAT,MEHSANA,CHAUDHARY ABHERAJBHAI FALJIBHAI,M,IND,476,0.10%,470268,1060992,478683,45.12%,29,0,OTHERS
3396,1996,GUJARAT,MEHSANA,PATEL KIRTIKUMAR KASHIRAM,M,IND,471,0.10%,470268,1060992,478683,45.12%,30,0,OTHERS
3397,1996,GUJARAT,MEHSANA,PATEL NATVARLAL TRIBHOVANDASS,M,IND,395,0.08%,470268,1060992,478683,45.12%,31,0,OTHERS
3398,1996,GUJARAT,MEHSANA,MODI JASHVANTLAL BABULAL,M,IND,281,0.06%,470268,1060992,478683,45.12%,32,0,OTHERS
3399,1996,GUJARAT,PATAN (SC),MAHESHKUMAR MITHABHAI KANODIA,M,BJP,180761,58.83%,307253,971332,313364,32.26%,1,1,BJP
3400,1996,GUJARAT,PATAN (SC),LEUVA POONAMCHAND MOHANLAL,M,INC,91938,29.92%,307253,971332,313364,32.26%,2,0,OTHERS
3401,1996,GUJARAT,PATAN (SC),DOLATBHAI PARMAR,M,AIIC(T),18916,6.16%,307253,971332,313364,32.26%,3,0,OTHERS
3402,1996,GUJARAT,PATAN (SC),PARMAR KANTABEN MAFATLAL,F,IND,2276,0.74%,307253,971332,313364,32.26%,4,0,OTHERS
3403,1996,GUJARAT,PATAN (SC),PRAHLADBHAI CHAUHAN,M,JD,2215,0.72%,307253,971332,313364,32.26%,5,0,NATIONAL FRONT
3404,1996,GUJARAT,PATAN (SC),KK CHAUHAN,M,SMP,1561,0.51%,307253,971332,313364,32.26%,6,0,OTHERS
3405,1996,GUJARAT,PATAN (SC),JIVANLAL M PARMAR,M,IND,1546,0.50%,307253,971332,313364,32.26%,7,0,OTHERS
3406,1996,GUJARAT,PATAN (SC),DR CHANDRABEN SHRIMALI,F,SP,1224,0.40%,307253,971332,313364,32.26%,8,0,NATIONAL FRONT
3407,1996,GUJARAT,PATAN (SC),TAPODHAN BALDEVBHAI JAMDAS,M,SHS,1146,0.37%,307253,971332,313364,32.26%,9,0,BJP AFFILIATED
