id,year,statename,pcname,candidate,sex,party,total,polled,validv,electors,polled,pollperc,Rank,win,alliance
39,1996,ANDHRA PRADESH,VISAKHAPATNAM,ALWARDAS SUNKARI,M,BJP,23897,2.87%,832875,1394475,849194,60.90%,4,0,BJP
40,1996,ANDHRA PRADESH,VISAKHAPATNAM,ANANTHATHMULA SURYANARAYANA MURTHY,M,IND,3885,0.47%,832875,1394475,849194,60.90%,5,0,OTHERS
41,1996,ANDHRA PRADESH,VISAKHAPATNAM,KANDARPA NARAYANA MURTHY (NEHRU),M,IND,2454,0.29%,832875,1394475,849194,60.90%,6,0,OTHERS
42,1996,ANDHRA PRADESH,VISAKHAPATNAM,APPA RAO GUDIVADA,M,IND,1966,0.24%,832875,1394475,849194,60.90%,7,0,OTHERS
43,1996,ANDHRA PRADESH,VISAKHAPATNAM,ESMARA RAO POTNURU,M,IND,1650,0.20%,832875,1394475,849194,60.90%,8,0,OTHERS
44,1996,ANDHRA PRADESH,VISAKHAPATNAM,ADDA BHARATH KUMAR,M,JP,1623,0.19%,832875,1394475,849194,60.90%,9,0,OTHERS
45,1996,ANDHRA PRADESH,VISAKHAPATNAM,TADI MANOHAR KUMAR,M,AIIC(T),1483,0.18%,832875,1394475,849194,60.90%,10,0,OTHERS
46,1996,ANDHRA PRADESH,VISAKHAPATNAM,DOGGA CHANDRI,M,IND,1479,0.18%,832875,1394475,849194,60.90%,11,0,OTHERS
47,1996,ANDHRA PRADESH,VISAKHAPATNAM,MAMIDI SOMUNAIDU,M,IND,1117,0.13%,832875,1394475,849194,60.90%,12,0,OTHERS
48,1996,ANDHRA PRADESH,VISAKHAPATNAM,BHASKARA RAO PERI,M,IND,1090,0.13%,832875,1394475,849194,60.90%,13,0,OTHERS
49,1996,ANDHRA PRADESH,VISAKHAPATNAM,KUDIRELLA MAHESWARA RAO,M,IND,894,0.11%,832875,1394475,849194,60.90%,14,0,OTHERS
50,1996,ANDHRA PRADESH,VISAKHAPATNAM,LEKKALA APPA RAO,M,IND,824,0.10%,832875,1394475,849194,60.90%,15,0,OTHERS
51,1996,ANDHRA PRADESH,VISAKHAPATNAM,KOMMOJU VEERABHADRAM,M,IND,758,0.09%,832875,1394475,849194,60.90%,16,0,OTHERS
52,1996,ANDHRA PRADESH,VISAKHAPATNAM,ANGATI APPA RAO,M,IND,716,0.09%,832875,1394475,849194,60.90%,17,0,OTHERS
53,1996,ANDHRA PRADESH,VISAKHAPATNAM,GOLLAKOTA VENKATA SUBBA RAO,M,IND,683,0.08%,832875,1394475,849194,60.90%,18,0,OTHERS
54,1996,ANDHRA PRADESH,VISAKHAPATNAM,ATMARAM JANUPALLI,M,IND,643,0.08%,832875,1394475,849194,60.90%,19,0,OTHERS
55,1996,ANDHRA PRADESH,VISAKHAPATNAM,SNVSS BHASKAR,M,IND,598,0.07%,832875,1394475,849194,60.90%,20,0,OTHERS
56,1996,ANDHRA PRADESH,VISAKHAPATNAM,TNV MURTHY (NAVISH),M,IND,570,0.07%,832875,1394475,849194,60.90%,21,0,OTHERS
57,1996,ANDHRA PRADESH,VISAKHAPATNAM,SUBBARAYUDU AMARA,M,IND,461,0.06%,832875,1394475,849194,60.90%,22,0,OTHERS
58,1996,ANDHRA PRADESH,VISAKHAPATNAM,RAYAVARAPU KRISHNA MURTHY,M,IND,392,0.05%,832875,1394475,849194,60.90%,23,0,OTHERS
59,1996,ANDHRA PRADESH,VISAKHAPATNAM,VARDINENI VENKATA RAMAKRISHNAYYA,M,IND,389,0.05%,832875,1394475,849194,60.90%,24,0,OTHERS
60,1996,ANDHRA PRADESH,VISAKHAPATNAM,BABU RAO VEGI,M,IND,384,0.05%,832875,1394475,849194,60.90%,25,0,OTHERS
61,1996,ANDHRA PRADESH,VISAKHAPATNAM,PREMA LEELA RAO KALUTURI,F,IND,375,0.05%,832875,1394475,849194,60.90%,26,0,OTHERS
62,1996,ANDHRA PRADESH,VISAKHAPATNAM,MEDICI GANESWARA RAO,M,IND,348,0.04%,832875,1394475,849194,60.90%,27,0,OTHERS
63,1996,ANDHRA PRADESH,VISAKHAPATNAM,PALAKURTHI VENU,M,IND,338,0.04%,832875,1394475,849194,60.90%,28,0,OTHERS
64,1996,ANDHRA PRADESH,VISAKHAPATNAM,CS PRAKASA RAO,M,IND,321,0.04%,832875,1394475,849194,60.90%,29,0,OTHERS
65,1996,ANDHRA PRADESH,VISAKHAPATNAM,PODIPI REDDI ANAND,M,IND,255,0.03%,832875,1394475,849194,60.90%,30,0,OTHERS
66,1996,ANDHRA PRADESH,BHADRACHALAM (ST),SODE RAMAIAH,M,CPI,245214,37.69%,650640,1102108,676585,61.39%,1,1,LEFT FRONT
67,1996,ANDHRA PRADESH,BHADRACHALAM (ST),K KAMALA KUMARI,F,INC,217806,33.48%,650640,1102108,676585,61.39%,2,0,OTHERS
68,1996,ANDHRA PRADESH,BHADRACHALAM (ST),SETTY LAXMANUDU,M,NTRTDP(LP),106946,16.44%,650640,1102108,676585,61.39%,3,0,OTHERS
69,1996,ANDHRA PRADESH,BHADRACHALAM (ST),KURUSA BOJJAIAH,M,BJP,26367,4.05%,650640,1102108,676585,61.39%,4,0,BJP
70,1996,ANDHRA PRADESH,BHADRACHALAM (ST),KECHALA RANGA REDDY,M,IND,25347,3.90%,650640,1102108,676585,61.39%,5,0,OTHERS
71,1996,ANDHRA PRADESH,BHADRACHALAM (ST),TOLEM NARASAYYA,M,IND,12485,1.92%,650640,1102108,676585,61.39%,6,0,OTHERS
