Year,Electors,Voters
1951,26981825,14931742
1957,17495831,8179301
1962,18675436,12676346
1967,20799362,15310702
1971,22976680,15756801
1977,28161418,17108146
1980,29197882,18845006
1984,30947873,21686473
1989,35294451,24111468
1991,39908787,24649408
1996,42478965,27154721
2001,47479000,28037314
2006,46603352,32991555
2011,47115846,36845373
2016,57791397,43205158
