year,statename,lcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
2001,Tamil Nadu,NATHAM,RAMAN.O.P.,M,IND,1019,,112540,5,0.91%,0,OTHERS
2001,Tamil Nadu,NATHAM,MUTHURAMALINGAM.V.,M,JD(S),935,,112540,6,0.83%,0,OTHERS
2001,Tamil Nadu,NATHAM,ANDI AMBALAM A.,M,IND,879,,112540,7,0.78%,0,OTHERS
2001,Tamil Nadu,NATHAM,VENKATASUBRAMANI K.,M,IND,590,,112540,8,0.52%,0,OTHERS
2001,Tamil Nadu,NATHAM,RAJANGAM.N.,M,IND,589,,112540,9,0.52%,0,OTHERS
2001,Tamil Nadu,NATHAM,KRISHNAN S,M,IND,556,,112540,10,0.49%,0,OTHERS
2001,Tamil Nadu,NATHAM,VELU.R.,M,IND,459,,112540,11,0.41%,0,OTHERS
2001,Tamil Nadu,NATRAMPALLI,NATARAJAN S,M,PMK,67046,,136938,1,48.96%,1,ADMK
2001,Tamil Nadu,NATRAMPALLI,ANBAZHAGAN T,M,MGRK,54958,,136938,2,40.13%,0,DMK
2001,Tamil Nadu,NATRAMPALLI,KRISHNAMURTHY P,M,MDMK,4352,,136938,3,3.18%,0,OTHERS
2001,Tamil Nadu,NATRAMPALLI,PERUMAL K,M,IND,3033,,136938,4,2.21%,0,OTHERS
2001,Tamil Nadu,NATRAMPALLI,AMIRTHAM T,F,IND,2995,,136938,5,2.19%,0,OTHERS
2001,Tamil Nadu,NATRAMPALLI,ASOKAN B.A.,M,IND,2447,,136938,6,1.79%,0,OTHERS
2001,Tamil Nadu,NATRAMPALLI,PREMA BARATHI K. ,F,IND,1104,,136938,7,0.81%,0,OTHERS
2001,Tamil Nadu,NATRAMPALLI,KALAHASTRI S.,M,IND,1003,,136938,8,0.73%,0,OTHERS
2001,Tamil Nadu,NELLIKUPPAM,SAMPATH. M.C.,M,ADMK,56349,,110631,1,50.93%,1,ADMK
2001,Tamil Nadu,NELLIKUPPAM,SHANMUGHAM.V.C.,M,DMK,48967,,110631,2,44.26%,0,DMK
2001,Tamil Nadu,NELLIKUPPAM,SOUNDHARARAJAN. A.S.,M,MDMK,2713,,110631,3,2.45%,0,OTHERS
2001,Tamil Nadu,NELLIKUPPAM,JEYACHANDRAN.P.,M,IND,1716,,110631,4,1.55%,0,OTHERS
2001,Tamil Nadu,NELLIKUPPAM,SEKAR.K.,M,IND,886,,110631,5,0.80%,0,OTHERS
2001,Tamil Nadu,NILAKOTTAI,ANBAZHAGAN.G,M,ADMK,60972,,106303,1,57.36%,1,ADMK
2001,Tamil Nadu,NILAKOTTAI,AYYAR.K,M,PT,29478,,106303,2,27.73%,0,DMK
2001,Tamil Nadu,NILAKOTTAI,PONNAMMAL .A.S TMT. ,F,IND,7533,,106303,3,7.09%,0,OTHERS
2001,Tamil Nadu,NILAKOTTAI,PERIYASAMY .K.,M,MDMK,2589,,106303,4,2.44%,0,OTHERS
2001,Tamil Nadu,NILAKOTTAI,JEEVA.M.,F,IND,2139,,106303,5,2.01%,0,OTHERS
2001,Tamil Nadu,NILAKOTTAI,DHANABALAN .R,M,IND,1409,,106303,6,1.33%,0,OTHERS
2001,Tamil Nadu,NILAKOTTAI,SELVARAJ.V,M,IND,1351,,106303,7,1.27%,0,OTHERS
2001,Tamil Nadu,NILAKOTTAI,GANDHI.P,M,IND,832,,106303,8,0.78%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,CHAKKARAPANI. ARA.,M,DMK,52896,,114010,1,46.40%,1,DMK
2001,Tamil Nadu,ODDANCHATRAM,SELLASAMY . A..T.,M,ADMK,51527,,114010,2,45.20%,0,ADMK
2001,Tamil Nadu,ODDANCHATRAM,CHURCHILL. PON,M,MDMK,4525,,114010,3,3.97%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,LOGANATHAN P,M,IND,1962,,114010,4,1.72%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,ARJUNAN. A.,M,IND,1242,,114010,5,1.09%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,MURUGAN. P.,M,IND,556,,114010,6,0.49%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,MURUGANANDAM. G,M,IND,417,,114010,7,0.37%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,KARUPPUCHAMY. P.,M,IND,353,,114010,8,0.31%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,SUBRAMANI. M.,M,IND,285,,114010,9,0.25%,0,OTHERS
2001,Tamil Nadu,ODDANCHATRAM,KUPPUSAMY. C.,M,IND,247,,114010,10,0.22%,0,OTHERS
2001,Tamil Nadu,OMALUR,SEMMALAI S,M,ADMK,65861,,110905,1,59.39%,1,ADMK
2001,Tamil Nadu,OMALUR,RAJENDRAN.ERA.,M,DMK,34259,,110905,2,30.89%,0,DMK
2001,Tamil Nadu,OMALUR,SUNDARARAJAN B.S,M,JP,3235,,110905,3,2.92%,0,OTHERS
2001,Tamil Nadu,OMALUR,MURUGAN.K,M,IND,2250,,110905,4,2.03%,0,OTHERS
2001,Tamil Nadu,OMALUR,NALLATHAMBI.P,M,IND,1722,,110905,5,1.55%,0,OTHERS
2001,Tamil Nadu,OMALUR,PANNEER SELVAM.S.D.,M,IND,897,,110905,6,0.81%,0,OTHERS
2001,Tamil Nadu,OMALUR,CHINNUSAMY .P.,M,MDMK,894,,110905,7,0.81%,0,OTHERS
2001,Tamil Nadu,OMALUR,NATESAN.G.,M,IND,512,,110905,8,0.46%,0,OTHERS
2001,Tamil Nadu,OMALUR,KRISHNAN.V.M,M,NCP,499,,110905,9,0.45%,0,OTHERS
2001,Tamil Nadu,OMALUR,KARUMALAI.K,M,IND,406,,110905,10,0.37%,0,OTHERS
2001,Tamil Nadu,OMALUR,SELVAMM.R.,M,IND,370,,110905,11,0.33%,0,OTHERS
2001,Tamil Nadu,OOTACAMUND,RAJU H.M,M,INC,59872,,95538,1,62.67%,1,ADMK
2001,Tamil Nadu,OOTACAMUND,HUTCHI GOWDER.J,M,BJP,30782,,95538,2,32.22%,0,DMK
2001,Tamil Nadu,OOTACAMUND,ALWAS M,M,JP,1606,,95538,3,1.68%,0,OTHERS
2001,Tamil Nadu,OOTACAMUND,SRI HARI K ,M,IND,1067,,95538,4,1.12%,0,OTHERS
2001,Tamil Nadu,OOTACAMUND,BOJAN H.T.,M,JD(S),1033,,95538,5,1.08%,0,OTHERS
2001,Tamil Nadu,OOTACAMUND,NANJUNDAN K N K,M,IND,626,,95538,6,0.66%,0,OTHERS
2001,Tamil Nadu,OOTACAMUND,DHARMAN KH.,M,IND,290,,95538,7,0.30%,0,OTHERS
2001,Tamil Nadu,OOTACAMUND,KANTHARAJAN K,M,IND,262,,95538,8,0.27%,0,OTHERS
2001,Tamil Nadu,ORATHANAD,VAITHILINGAM. R,M,ADMK,63836,,119676,1,53.34%,1,ADMK
2001,Tamil Nadu,ORATHANAD,RAJAMANICKAM. P.,M,DMK,43992,,119676,2,36.76%,0,DMK
2001,Tamil Nadu,ORATHANAD,BALAKRISHNAN. DURAI,M,MDMK,7245,,119676,3,6.05%,0,OTHERS
2001,Tamil Nadu,ORATHANAD,PANDIYAN MANIYAR .S,M,IND,4603,,119676,4,3.85%,0,OTHERS
2001,Tamil Nadu,PADMANABHAPURAM,RAAJENDRAPRASAD.K.P,M,ADMK,36223,,84349,1,42.94%,1,ADMK
2001,Tamil Nadu,PADMANABHAPURAM,VELAYUTHAN.C,M,BJP,33449,,84349,2,39.66%,0,DMK
2001,Tamil Nadu,PADMANABHAPURAM,SUNDARA BALIES.P,M,IND,7059,,84349,3,8.37%,0,OTHERS
2001,Tamil Nadu,PADMANABHAPURAM,ARULRAJ.D,M,JD(S),5455,,84349,4,6.47%,0,OTHERS
2001,Tamil Nadu,PADMANABHAPURAM,REGHU .R,M,IND,1173,,84349,5,1.39%,0,OTHERS
2001,Tamil Nadu,PADMANABHAPURAM,AMALA BAI. G.TMT. ,F,IND,367,,84349,6,0.44%,0,OTHERS
2001,Tamil Nadu,PADMANABHAPURAM,AYYAPPAN .A,M,IND,321,,84349,7,0.38%,0,OTHERS
2001,Tamil Nadu,PADMANABHAPURAM,PONNUSWAMY.I,M,IND,302,,84349,8,0.36%,0,OTHERS
2001,Tamil Nadu,PALACODE,ANBALAGAN K.P,M,ADMK,75284,,120685,1,62.38%,1,ADMK
2001,Tamil Nadu,PALACODE,VENKATACHALAM G.L.,M,DMK,35052,,120685,2,29.04%,0,DMK
2001,Tamil Nadu,PALACODE,MADHIYAN G.V,M,MDMK,4648,,120685,3,3.85%,0,OTHERS
2001,Tamil Nadu,PALACODE,PRAKASH N,M,IND,2781,,120685,4,2.30%,0,OTHERS
2001,Tamil Nadu,PALACODE,VIJAYAKUMAR M,M,LJNSP,1169,,120685,5,0.97%,0,OTHERS
2001,Tamil Nadu,PALACODE,ANWARBASHA.A,M,IND,1113,,120685,6,0.92%,0,OTHERS
2001,Tamil Nadu,PALACODE,CHANDRASEKAR R,M,IND,638,,120685,7,0.53%,0,OTHERS
2001,Tamil Nadu,PALANI,CHINNASAMY .M,M,ADMK,63611,,114311,1,55.65%,1,ADMK
2001,Tamil Nadu,PALANI,POOVENDHAN .T,M,DMK,43124,,114311,2,37.73%,0,DMK
2001,Tamil Nadu,PALANI,MARIMUTHU .P.M,M,MDMK,3985,,114311,3,3.49%,0,OTHERS
2001,Tamil Nadu,PALANI,RENGANATHAN. S,M,IND,1916,,114311,4,1.68%,0,OTHERS
2001,Tamil Nadu,PALANI,MUTHUSAMY .P,M,IND,536,,114311,5,0.47%,0,OTHERS
2001,Tamil Nadu,PALANI,NALLATHAMBI .N,M,IND,361,,114311,6,0.32%,0,OTHERS
2001,Tamil Nadu,PALANI,MARUTHAKALI.M,M,IND,217,,114311,7,0.19%,0,OTHERS
2001,Tamil Nadu,PALANI,THANNASIMUTHU .M,M,IND,203,,114311,8,0.18%,0,OTHERS
2001,Tamil Nadu,PALANI,DURAIARASAN .K,M,IND,193,,114311,9,0.17%,0,OTHERS
2001,Tamil Nadu,PALANI,MAYILRAVANAN.P,M,IND,165,,114311,10,0.14%,0,OTHERS
2001,Tamil Nadu,PALAYAMCOTTAI,MOHIDEEN KHAN.T.P.M,M,DMK,55934,,105282,1,53.13%,1,DMK
2001,Tamil Nadu,PALAYAMCOTTAI,MUTHU KARUPPAN.S,M,ADMK,41186,,105282,2,39.12%,0,ADMK
2001,Tamil Nadu,PALAYAMCOTTAI,NAZARETH DURAI.,M,MDMK,5383,,105282,3,5.11%,0,OTHERS
2001,Tamil Nadu,PALAYAMCOTTAI,MUBARAK AHAMED,M,SP,1304,,105282,4,1.24%,0,OTHERS
2001,Tamil Nadu,PALAYAMCOTTAI,BALAMURUGAN.T,M,IND,581,,105282,5,0.55%,0,OTHERS
2001,Tamil Nadu,PALAYAMCOTTAI,SANKARANARAYANAN.A,M,IND,383,,105282,6,0.36%,0,OTHERS
2001,Tamil Nadu,PALAYAMCOTTAI,KLANTHAI CHANDRASEKARAN,M,IND,317,,105282,7,0.30%,0,OTHERS
2001,Tamil Nadu,PALAYAMCOTTAI,AZZEZ,M,IND,194,,105282,8,0.18%,0,OTHERS
2001,Tamil Nadu,PALLADAM,VELUSAMY.S.M,M,ADMK,82592,,147864,1,55.86%,1,ADMK
2001,Tamil Nadu,PALLADAM,PONMUDI.S.S,M,DMK,50118,,147864,2,33.89%,0,DMK
2001,Tamil Nadu,PALLADAM,PONNUSAMY.C,M,MDMK,10410,,147864,3,7.04%,0,OTHERS
2001,Tamil Nadu,PALLADAM,VELUSAMY.P,M,IND,1514,,147864,4,1.02%,0,OTHERS
2001,Tamil Nadu,PALLADAM,MUTHULINGAM.S.P,M,JD(S),1514,,147864,4,1.02%,0,OTHERS
2001,Tamil Nadu,PALLADAM,PALANIAPPAN.K.M,M,IND,728,,147864,6,0.49%,0,OTHERS
2001,Tamil Nadu,PALLADAM,SHANMUGA SUNDARAM.K.M,M,IND,523,,147864,7,0.35%,0,OTHERS
2001,Tamil Nadu,PALLADAM,MUTHUSAMY.R.K,M,IND,465,,147864,8,0.31%,0,OTHERS
2001,Tamil Nadu,PALLIPET,NARASIMHAN .P.M,M,ADMK,62289,,126037,1,49.42%,1,ADMK
2001,Tamil Nadu,PALLIPET,CHAKRAVARTHY .M,M,BJP,34049,,126037,2,27.02%,0,DMK
2001,Tamil Nadu,PALLIPET,VINAYAGAM .P.A,M,IND,26081,,126037,3,20.69%,0,OTHERS
2001,Tamil Nadu,PALLIPET,SANKARAN .G,M,PB,1558,,126037,4,1.24%,0,OTHERS
2001,Tamil Nadu,PALLIPET,GAJENDRAN .M,M,RJD,780,,126037,5,0.62%,0,OTHERS
2001,Tamil Nadu,PALLIPET,PANCHATCHARAM. D.,M,IND,647,,126037,6,0.51%,0,OTHERS
2001,Tamil Nadu,PALLIPET,GOVINDASAMY MUTHIRAIYAR ALIAS GOVINDASAMY.M.S,M,IND,375,,126037,7,0.30%,0,OTHERS
2001,Tamil Nadu,PALLIPET,THIRUVENGADAM .A.K,M,LJNSP,258,,126037,8,0.20%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,VIJAYALAKAHMI PALANISAMY .P,F,ADMK,78642,,121910,1,64.51%,1,ADMK
2001,Tamil Nadu,PANAMARATHUPATTY,SIVALINGAM. S.R.,M,DMK,36292,,121910,2,29.77%,0,DMK
2001,Tamil Nadu,PANAMARATHUPATTY,MUTHUKRISHNAN. V,M,MDMK,1784,,121910,3,1.46%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,GANESAN,M,UCPI,1432,,121910,4,1.17%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,PONNUTHAMBI.S.,M,IND,1406,,121910,5,1.15%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,RAJARAM. K.,M,IND,698,,121910,6,0.57%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,GUNASEKARAN. A.,M,IND,632,,121910,7,0.52%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,SRINIVASAN. C.K.,M,IND,347,,121910,8,0.28%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,RAMASAMY A SINGARAM. M,M,IND,249,,121910,9,0.20%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,ALAGARASAN.A.,M,IND,228,,121910,10,0.19%,0,OTHERS
2001,Tamil Nadu,PANAMARATHUPATTY,ARTHANARI. N.,M,IND,200,,121910,11,0.16%,0,OTHERS
2001,Tamil Nadu,PANRUTI,VELMURUGAN .T.,M,PMK,45963,,122003,1,37.67%,1,ADMK
2001,Tamil Nadu,PANRUTI,RAMASWAMY .V.,M,DMK,40915,,122003,2,33.54%,0,DMK
2001,Tamil Nadu,PANRUTI,RAMACHANDRAN .S,M,MNK(PLP),30459,,122003,3,24.97%,0,OTHERS
2001,Tamil Nadu,PANRUTI,SELVAMANI .K.M.,M,MDMK,2555,,122003,4,2.09%,0,OTHERS
2001,Tamil Nadu,PANRUTI,KUMARAGURU .V.K.,M,IND,2111,,122003,5,1.73%,0,OTHERS
2001,Tamil Nadu,PAPANASAM,RAMKUMAR M,M,TMC(M),55830,,110844,1,50.37%,1,ADMK
2001,Tamil Nadu,PAPANASAM,KALYANASUNDARAM S,M,DMK,49198,,110844,2,44.38%,0,DMK
2001,Tamil Nadu,PAPANASAM,SAMBATH N,M,MDMK,2480,,110844,3,2.24%,0,OTHERS
2001,Tamil Nadu,PAPANASAM,ABDULLAH A,M,IND,1508,,110844,4,1.36%,0,OTHERS
2001,Tamil Nadu,PAPANASAM,SENTHAMARAI SELVI R ,F,IND,1329,,110844,5,1.20%,0,OTHERS
2001,Tamil Nadu,PAPANASAM,KARUPPASAMI K,M,IND,499,,110844,6,0.45%,0,OTHERS
2001,Tamil Nadu,PARAMAKUDI,RAMPRABHU R,M,TMC(M),53746,,108410,1,49.58%,1,ADMK
2001,Tamil Nadu,PARAMAKUDI,CHELLIAH S,M,PT,47939,,108410,2,44.22%,0,DMK
2001,Tamil Nadu,PARAMAKUDI,DURAIRAJU K,M,MDMK,4153,,108410,3,3.83%,0,OTHERS
2001,Tamil Nadu,PARAMAKUDI,SAKTHIVEL M,M,IND,1497,,108410,4,1.38%,0,OTHERS
2001,Tamil Nadu,PARAMAKUDI,ELAVARASAN B,M,IND,1075,,108410,5,0.99%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,VINAYAKAMURTHI S.G,M,TMC(M),33031,,64268,1,51.40%,1,ADMK
2001,Tamil Nadu,PARK TOWN,T.RAJHENDHARR.,M,DMK,26654,,64268,2,41.47%,0,DMK
2001,Tamil Nadu,PARK TOWN,G.NANMARAN,M,MDMK,1590,,64268,3,2.47%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,E.MURUGAN,M,BSP,1220,,64268,4,1.90%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,PE.GOVINDASWAMY,M,JD(S),728,,64268,5,1.13%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,RAJENDHRAN.T.V,M,IND,400,,64268,6,0.62%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,N.P.DURAI,M,IND,165,,64268,7,0.26%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,T.A.DAMODARAN,M,IND,141,,64268,8,0.22%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,T.RAJENDRAN,M,IND,138,,64268,9,0.21%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,THULASI. R. T.MT ,F,SP,103,,64268,10,0.16%,0,OTHERS
2001,Tamil Nadu,PARK TOWN,D.THANGARAJ,M,IND,98,,64268,11,0.15%,0,OTHERS
2001,Tamil Nadu,PATTUKKOTTAI,RENGARAJAN N.R.,M,TMC(M),55474,,116819,1,47.49%,1,ADMK
2001,Tamil Nadu,PATTUKKOTTAI,BALASUBRAMANIAN P,M,DMK,48524,,116819,2,41.54%,0,DMK
2001,Tamil Nadu,PATTUKKOTTAI,ELANGO R,M,MDMK,8782,,116819,3,7.52%,0,OTHERS
2001,Tamil Nadu,PATTUKKOTTAI,ADIKESAVAN S,M,JP,1043,,116819,4,0.89%,0,OTHERS
2001,Tamil Nadu,PATTUKKOTTAI,JAHIRHUSSION S,M,IND,980,,116819,5,0.84%,0,OTHERS
2001,Tamil Nadu,PATTUKKOTTAI,KUMARAVEL THANGA,M,IND,833,,116819,6,0.71%,0,OTHERS
2001,Tamil Nadu,PATTUKKOTTAI,CHOKALINGA SOLANGA NATTAR M.R.,M,IND,660,,116819,7,0.56%,0,OTHERS
2001,Tamil Nadu,PATTUKKOTTAI,ABDUL AHAMED A.M.,M,IND,523,,116819,8,0.45%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,MANI G.K.,M,PMK,49125,,111444,1,44.08%,1,ADMK
2001,Tamil Nadu,PENNAGARAM,PERIANNAN K.N.,M,IND,34729,,111444,2,31.16%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,KUMAR .M.,M,DMK,17371,,111444,3,15.59%,0,DMK
2001,Tamil Nadu,PENNAGARAM,PERIANNAN. K.N.,M,IND,2290,,111444,4,2.05%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,SEKAR .K.E.,M,MDMK,1466,,111444,5,1.32%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,MURUGAN .N,M,IND,1404,,111444,6,1.26%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,ANBALAGAN.K,M,IND,1318,,111444,7,1.18%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,RAVI.P.,M,UCPI,1262,,111444,8,1.13%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,MURUGAN C.K.,M,BSP,1245,,111444,9,1.12%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,ANBALAGAN.T.C.,M,IND,725,,111444,10,0.65%,0,OTHERS
2001,Tamil Nadu,PENNAGARAM,PERIANNAN N.P,M,IND,509,,111444,11,0.46%,0,OTHERS
2001,Tamil Nadu,PERAMBALUR,RAJARETHINAM.P,M,ADMK,67074,,125499,1,53.45%,1,ADMK
2001,Tamil Nadu,PERAMBALUR,VALLABAN.S,M,DMK,47070,,125499,2,37.51%,0,DMK
2001,Tamil Nadu,PERAMBALUR,KANNAN.S,M,MDMK,6960,,125499,3,5.55%,0,OTHERS
2001,Tamil Nadu,PERAMBALUR,MARIMUTHU.P,M,IND,4395,,125499,4,3.50%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),MAHENDRAN K.,M,CPM,69613,,132799,1,52.42%,1,ADMK
2001,Tamil Nadu,PERAMBUR (SC),CHENGAI SIVAM,M,DMK,52390,,132799,2,39.45%,0,DMK
2001,Tamil Nadu,PERAMBUR (SC),R.NATARAJAN,M,MDMK,4055,,132799,3,3.05%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),S.RAVI,M,IND,2702,,132799,4,2.03%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),R.GUNASEKARAN,M,IND,1700,,132799,5,1.28%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),K.RAMA RAO,M,IND,1012,,132799,6,0.76%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),J.MEGANATHAN,M,IND,492,,132799,7,0.37%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),MURTHY.G,M,IND,358,,132799,8,0.27%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),S.THAMILARASI,F,IND,250,,132799,9,0.19%,0,OTHERS
2001,Tamil Nadu,PERAMBUR (SC),M.V.MURALI,M,IND,227,,132799,10,0.17%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,ANBALAGAN.A.K.S,M,ADMK,52625,,115355,1,45.62%,1,ADMK
2001,Tamil Nadu,PERANAMALLUR,BOSE.B,M,MTD,44266,,115355,2,38.37%,0,DMK
2001,Tamil Nadu,PERANAMALLUR,SHANMUGASUNDARAM.C.S,M,IND,9054,,115355,3,7.85%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,VENUGOBALAN.R.M,M,IND,2721,,115355,4,2.36%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,MURUGAN.R,M,MDMK,1846,,115355,5,1.60%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,JAYAKARAN JOSEPH.J,M,JD(S),1590,,115355,6,1.38%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,VENKATESAN.P.M,M,IND,962,,115355,7,0.83%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,MURUGAN.V,M,IND,902,,115355,8,0.78%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,RAMAKRISHNAN.A,M,IND,759,,115355,9,0.66%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,THIYAGARAJAN.V,M,IND,324,,115355,10,0.28%,0,OTHERS
2001,Tamil Nadu,PERANAMALLUR,DHARANENDIRA KUMAR.C,M,IND,306,,115355,11,0.27%,0,OTHERS
2001,Tamil Nadu,PERAVURANI,THIRUGNANA SAMBANDHAM S.V. ,M,TMC(M),64076,,117137,1,54.70%,1,ADMK
2001,Tamil Nadu,PERAVURANI,CHELLAIAH.KUZHA,M,DMK,35417,,117137,2,30.24%,0,DMK
2001,Tamil Nadu,PERAVURANI,R.SINGARAM,M,IND,14453,,117137,3,12.34%,0,OTHERS
2001,Tamil Nadu,PERAVURANI,C.MURUGAIYAN,M,IND,3191,,117137,4,2.72%,0,OTHERS
2001,Tamil Nadu,PERIYAKULAM,PANNEER SELVAM O ,M,ADMK,62125,,114463,1,54.28%,1,ADMK
2001,Tamil Nadu,PERIYAKULAM,ABUTHAHIR M,M,DMK,44205,,114463,2,38.62%,0,DMK
2001,Tamil Nadu,PERIYAKULAM,JEYARAMAN A,M,MDMK,5965,,114463,3,5.21%,0,OTHERS
2001,Tamil Nadu,PERIYAKULAM,BEERKABEEF K,M,IND,1222,,114463,4,1.07%,0,OTHERS
2001,Tamil Nadu,PERIYAKULAM,NAGARAJAN M,M,IND,525,,114463,5,0.46%,0,OTHERS
2001,Tamil Nadu,PERIYAKULAM,ELAMURUGAN K,M,IND,421,,114463,6,0.37%,0,OTHERS
2001,Tamil Nadu,PERNAMBUT (SC),KANAGATHARA (SELVI). C ,F,ADMK,65366,,110658,1,59.07%,1,ADMK
2001,Tamil Nadu,PERNAMBUT (SC),THONDRAL NAYAGAN .S,M,BJP,36511,,110658,2,32.99%,0,DMK
2001,Tamil Nadu,PERNAMBUT (SC),KANDAPPAN .DR.H.,M,IND,2615,,110658,3,2.36%,0,OTHERS
2001,Tamil Nadu,PERNAMBUT (SC),SURESHKUMAR .G,M,IND,1759,,110658,4,1.59%,0,OTHERS
2001,Tamil Nadu,PERNAMBUT (SC),GANGADHARAN .L,M,BSP,1560,,110658,5,1.41%,0,OTHERS
2001,Tamil Nadu,PERNAMBUT (SC),KAMALAVALLI .R.,F,JD(S),1232,,110658,6,1.11%,0,OTHERS
2001,Tamil Nadu,PERNAMBUT (SC),RAGHAVAN .K,M,IND,1017,,110658,7,0.92%,0,OTHERS
2001,Tamil Nadu,PERNAMBUT (SC),DHAN SING .C,M,LJSP,598,,110658,8,0.54%,0,OTHERS
2001,Tamil Nadu,PERUNDURAI,PALANISAMY. K.S.,M,ADMK,72133,,124623,1,57.88%,1,ADMK
2001,Tamil Nadu,PERUNDURAI,GOVINDASWAMY. N.,M,CNMK,40421,,124623,2,32.43%,0,DMK
2001,Tamil Nadu,PERUNDURAI,KANDASAMY .V.M.,M,MDMK,6528,,124623,3,5.24%,0,OTHERS
2001,Tamil Nadu,PERUNDURAI,RAMAN P.,M,IND,1374,,124623,4,1.10%,0,OTHERS
2001,Tamil Nadu,PERUNDURAI,SENGODU. K.P.,M,JD(S),1337,,124623,5,1.07%,0,OTHERS
2001,Tamil Nadu,PERUNDURAI,DEVENDARA MANICKAM. S.R. ,M,IND,1020,,124623,6,0.82%,0,OTHERS
2001,Tamil Nadu,PERUNDURAI,MUTHUSAMY .P.,M,IND,803,,124623,7,0.64%,0,OTHERS
2001,Tamil Nadu,PERUNDURAI,PALANISAMY GOUNDER.K.P.,M,IND,600,,124623,8,0.48%,0,OTHERS
2001,Tamil Nadu,PERUNDURAI,KRISHNAMOORTHY .C.,M,IND,407,,124623,9,0.33%,0,OTHERS
2001,Tamil Nadu,PERUR,KRISHNAKUMAR M.A.P.A. ALIAS ROHINI,M,ADMK,94607,,170464,1,55.50%,1,ADMK
2001,Tamil Nadu,PERUR,NAGESWARI THIRUMATHI.N.,F,DMK,59343,,170464,2,34.81%,0,DMK
2001,Tamil Nadu,PERUR,PALANISWAMY.M.,M,MDMK,9979,,170464,3,5.85%,0,OTHERS
2001,Tamil Nadu,PERUR,SHENBHAKARAJ.M,M,IND,2304,,170464,4,1.35%,0,OTHERS
2001,Tamil Nadu,PERUR,MAHESWARI THIRUMATHI .A.,F,IND,1989,,170464,5,1.17%,0,OTHERS
2001,Tamil Nadu,PERUR,NOOR MOHAMMED.A,M,IND,889,,170464,6,0.52%,0,OTHERS
2001,Tamil Nadu,PERUR,PARAMESWARI .SELVI .G.,F,IND,680,,170464,7,0.40%,0,OTHERS
2001,Tamil Nadu,PERUR,SIVAKUMAR .L,M,IND,673,,170464,8,0.39%,0,OTHERS
2001,Tamil Nadu,POLLACHI,JAYARAMAN.V.,M,ADMK,64648,,123179,1,52.48%,1,ADMK
2001,Tamil Nadu,POLLACHI,TAMIL MANI.R.,M,DMK,32244,,123179,2,26.18%,0,DMK
2001,Tamil Nadu,POLLACHI,VARADHARAJAN.K,M,MDMK,22014,,123179,3,17.87%,0,OTHERS
