year,statename,lcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
2001,Tamil Nadu,MANNARGUDI,NEDUNCHEYAN.V,M,IND,1722,,125256,3,1.37%,0,OTHERS
2001,Tamil Nadu,MANNARGUDI,SENGUTTUVAN VANDAIYUR.R.,M,IND,1467,,125256,4,1.17%,0,OTHERS
2001,Tamil Nadu,MANNARGUDI,KALIAMURTHY R.V.,M,IND,969,,125256,5,0.77%,0,OTHERS
2001,Tamil Nadu,MARUNGAPURI,CHELLIAH.V.A,M,ADMK,65619,,121688,1,53.92%,1,ADMK
2001,Tamil Nadu,MARUNGAPURI,SENGUTTUVAN.B.M.,M,DMK,40347,,121688,2,33.16%,0,DMK
2001,Tamil Nadu,MARUNGAPURI,DURAIRAJ .A,M,MDMK,11796,,121688,3,9.69%,0,OTHERS
2001,Tamil Nadu,MARUNGAPURI,SHARFUDEEN A.M.,M,IND,2418,,121688,4,1.99%,0,OTHERS
2001,Tamil Nadu,MARUNGAPURI,SUSILA RANI H ,F,JD(U),1508,,121688,5,1.24%,0,OTHERS
2001,Tamil Nadu,MAYURAM,VEERAPANDIAN.JAGA,M,BJP,51303,,103626,1,49.51%,1,DMK
2001,Tamil Nadu,MAYURAM,SELVARAJ.R,M,ADMK,48851,,103626,2,47.14%,0,ADMK
2001,Tamil Nadu,MAYURAM,MATHANMOHAN.R,M,IND,1434,,103626,3,1.38%,0,OTHERS
2001,Tamil Nadu,MAYURAM,PRABAAKARAN.PON,M,IND,587,,103626,4,0.57%,0,OTHERS
2001,Tamil Nadu,MAYURAM,ANANDH.M,M,IND,490,,103626,5,0.47%,0,OTHERS
2001,Tamil Nadu,MAYURAM,KUBENDHARAN.V,M,IND,409,,103626,6,0.39%,0,OTHERS
2001,Tamil Nadu,MAYURAM,V.NATARAJAN,M,IND,303,,103626,7,0.29%,0,OTHERS
2001,Tamil Nadu,MAYURAM,SUBRAMANIAN.G,M,IND,249,,103626,8,0.24%,0,OTHERS
2001,Tamil Nadu,MELMALAYANUR,TAMILMOZHI .R.,F,ADMK,55309,,108413,1,51.02%,1,ADMK
2001,Tamil Nadu,MELMALAYANUR,GNANASEKARAN DR.A.,M,DMK,30722,,108413,2,28.34%,0,DMK
2001,Tamil Nadu,MELMALAYANUR,MANI .A.K.,M,MDMK,17462,,108413,3,16.11%,0,OTHERS
2001,Tamil Nadu,MELMALAYANUR,THENMOZHI TMT. A.,F,IND,2206,,108413,4,2.03%,0,OTHERS
2001,Tamil Nadu,MELMALAYANUR,GNANASEKAR.G,M,IND,1166,,108413,5,1.08%,0,OTHERS
2001,Tamil Nadu,MELMALAYANUR,JAYARAMAN.P,M,MNK(PLP),651,,108413,6,0.60%,0,OTHERS
2001,Tamil Nadu,MELMALAYANUR,KRISHANAMURTHY. S.,M,IND,522,,108413,7,0.48%,0,OTHERS
2001,Tamil Nadu,MELMALAYANUR,AYYASAMY GOUNDER .D.,M,IND,375,,108413,8,0.35%,0,OTHERS
2001,Tamil Nadu,MELUR,SAMY.R,M,ADMK,58010,,125241,1,46.32%,1,ADMK
