id,year,statename,pcname,candidate,sex,age,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance,created_at,updated_at,,
35,2014,Andhra Pradesh,Karimnagar ,MEESALA RAJI REDDY,M,44,GEN,YSRCP,Ceiling Fan,3071,4,3075,0.20,0.27,1550810,14,1125184,0,0,OTHERS,,,,
36,2014,Andhra Pradesh,Karimnagar ,RANAVENI LAKSHMAN,M,41,GEN,NIP,Cup & Saucer,2061,1,2062,0.13,0.18,1550810,17,1125184,0,0,OTHERS,,,,
37,2014,Andhra Pradesh,Karimnagar ,REDDI MALLA SRINIVAS,M,46,SC,RPI(A),Sewing Machine,8033,1,8034,0.52,0.71,1550810,6,1125184,0,0,OTHERS,,,,
38,2014,Andhra Pradesh,Karimnagar ,SHAIK MAHMOOD,M,58,GEN,WPOI,Auto- Rickshaw,39300,8,39308,2.53,3.49,1550810,4,1125184,0,0,OTHERS,,,,
39,2014,Andhra Pradesh,Karimnagar ,UPPULETI.LAXMAN,M,49,SC,IND,Bat,2445,0,2445,0.16,0.22,1550810,16,1125184,0,0,OTHERS,,,,
40,2014,Andhra Pradesh,Karimnagar ,KANDEM PRABHAKAR,M,45,GEN,IND,Gas Stove,4727,1,4728,0.30,0.42,1550810,10,1125184,0,0,OTHERS,,,,
41,2014,Andhra Pradesh,Karimnagar ,PULIKOTA RAMESH,M,34,SC,IND,Battery Torch,1772,1,1773,0.11,0.16,1550810,18,1125184,0,0,OTHERS,,,,
42,2014,Andhra Pradesh,Karimnagar ,MALLESH YADAV BARLA,M,26,GEN,IND,Coconut,2757,0,2757,0.18,0.24,1550810,15,1125184,0,0,OTHERS,,,,
43,2014,Andhra Pradesh,Karimnagar ,MOHAMMED AMJAD MOHIUDDIN,M,45,GEN,IND,Kite,6713,0,6713,0.43,0.60,1550810,7,1125184,0,0,OTHERS,,,,
44,2014,Andhra Pradesh,Karimnagar ,SRINIVAS REDDY LINGAMPALLY,M,41,GEN,IND,Carrom Board,3851,0,3851,0.25,0.34,1550810,12,1125184,0,0,OTHERS,,,,
45,2014,Andhra Pradesh,Karimnagar ,None of the Above,,,,NOTA,NOTA,5722,12,5734,0.37,0.51,1550810,8,1125184,0,0,OTHERS,,,,
46,2014,Andhra Pradesh,Nizamabad,ENDALA LAKSHMINARAYANA,M,51,GEN,BJP,Lotus,222876,2457,225333,15.06,21.79,1496193,3,1033924,0,0,NDA,,,,
47,2014,Andhra Pradesh,Nizamabad,KALVAKUNTLA KAVITHA,F,36,GEN,TRS,Car,435706,3601,439307,29.36,42.49,1496193,1,1033924,1,0,OTHERS,,,,
48,2014,Andhra Pradesh,Nizamabad,TALARI RAMULU,M,46,SC,BSP,Elephant,7398,23,7421,0.50,0.72,1496193,6,1033924,0,0,OTHERS,,,,
49,2014,Andhra Pradesh,Nizamabad,MADHU YASKHI GOUD,M,56,GEN,INC,Hand,270948,1175,272123,18.19,26.32,1496193,2,1033924,0,1,UPA,,,,
50,2014,Andhra Pradesh,Nizamabad,ABDUL GANI,M,39,GEN,BCUF,Chappals,4791,0,4791,0.32,0.46,1496193,8,1033924,0,0,OTHERS,,,,
51,2014,Andhra Pradesh,Nizamabad,BANJA VEERAPPA,M,53,GEN,PPOI,Television,3649,2,3651,0.24,0.35,1496193,10,1033924,0,0,OTHERS,,,,
