id,year,statename,pcname,candidate,sex,age,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance,created_at,updated_at,,
2800,2014,Kerala,Alathur ,R BIJU,M,26,SC,IND,Shuttle,2159,0,2159,0.18,0.23,1216351,10,927228,0,0,OTHERS,,,,
2801,2014,Kerala,Alathur ,A BIJU,M,36,SC,IND,Scissors,1692,0,1692,0.14,0.18,1216351,12,927228,0,0,OTHERS,,,,
2802,2014,Kerala,Alathur ,K BIJU,M,30,SC,IND,Almirah,2911,0,2911,0.24,0.31,1216351,9,927228,0,0,OTHERS,,,,
2803,2014,Kerala,Alathur ,VIJAYAN AMBALAKKAD,M,47,SC,IND,Black Board,2101,1,2102,0.17,0.23,1216351,11,927228,0,0,OTHERS,,,,
2804,2014,Kerala,Alathur ,K S VELAYUDHAN,M,44,SC,IND,Gas Cylinder,4392,0,4392,0.36,0.47,1216351,8,927228,0,0,OTHERS,,,,
2805,2014,Kerala,Alathur ,None of the Above,,,,NOTA,NOTA,21398,19,21417,1.76,2.31,1216351,4,927228,0,0,OTHERS,,,,
2806,2014,Kerala,Thrissur,C. N. JAYADEVAN,M,63,GEN,CPI,Ears of Corn And Sickle,388774,435,389209,30.53,42.28,1275288,1,920505,1,0,OTHERS,,,,
2807,2014,Kerala,Thrissur,ADV. A. JAYARAM,M,48,GEN,BSP,Elephant,2109,1,2110,0.17,0.23,1275288,9,920505,0,0,OTHERS,,,,
2808,2014,Kerala,Thrissur,K. P. DHANAPALAN,M,64,GEN,INC,Hand,350593,389,350982,27.53,38.12,1275288,2,920505,0,1,UPA,,,,
2809,2014,Kerala,Thrissur,K.P. SREESAN,M,60,GEN,BJP,Lotus,102625,56,102681,8.05,11.15,1275288,3,920505,0,0,NDA,,,,
2810,2014,Kerala,Thrissur,HAJI MOIDEEN SHAH,M,64,GEN,JD(U),Arrow,659,0,659,0.05,0.07,1275288,12,920505,0,0,OTHERS,,,,
2811,2014,Kerala,Thrissur,K.SIVARAMAN,M,64,GEN,CPIM,Saw,718,0,718,0.06,0.08,1275288,11,920505,0,0,OTHERS,,,,
2812,2014,Kerala,Thrissur,SARAH JOSEPH,F,67,GEN,AAAP,Broom,44583,55,44638,3.50,4.85,1275288,4,920505,0,0,OTHERS,,,,
2813,2014,Kerala,Thrissur,SUFEERA K. P.,F,37,GEN,SDPI,Ceiling Fan,6892,2,6894,0.54,0.75,1275288,6,920505,0,0,OTHERS,,,,
2814,2014,Kerala,Thrissur,SOMAN PILLAI,M,63,GEN,igp,Gas Cylinder,546,0,546,0.04,0.06,1275288,14,920505,0,0,OTHERS,,,,
2815,2014,Kerala,Thrissur,JASMINSHA,M,29,GEN,IND,Candles,3959,0,3959,0.31,0.43,1275288,8,920505,0,0,OTHERS,,,,
2816,2014,Kerala,Thrissur,JIJU CHEENIKKAL,M,42,GEN,IND,Television,450,0,450,0.04,0.05,1275288,15,920505,0,0,OTHERS,,,,
2817,2014,Kerala,Thrissur,M. NARAYANANKUTTY (M. N. KUTTY),M,64,GEN,IND,Battery Torch,616,0,616,0.05,0.07,1275288,13,920505,0,0,OTHERS,,,,
2818,2014,Kerala,Thrissur,T. L. SANTHOSH,M,53,GEN,IND,Glass Tumbler,6043,1,6044,0.47,0.66,1275288,7,920505,0,0,OTHERS,,,,
2819,2014,Kerala,Thrissur,MANIYANGATTIL SUKUMARAN,M,61,GEN,IND,Auto- Rickshaw,949,0,949,0.07,0.10,1275288,10,920505,0,0,OTHERS,,,,
2820,2014,Kerala,Thrissur,None of the Above,,,,NOTA,NOTA,10041,9,10050,0.79,1.09,1275288,5,920505,0,0,OTHERS,,,,
2821,2014,Kerala,Chalakudy,ADV. B. GOPALAKRISHNAN,M,53,GEN,BJP,Lotus,92793,55,92848,8.07,10.49,1150497,3,884033,0,0,NDA,,,,
2822,2014,Kerala,Chalakudy,P C CHACKO,M,67,GEN,INC,Hand,344222,334,344556,29.96,38.93,1150497,2,884033,0,1,UPA,,,,
2823,2014,Kerala,Chalakudy,M G PURUSHOTHAMAN,M,66,GEN,BSP,Elephant,1942,0,1942,0.17,0.22,1150497,10,884033,0,0,OTHERS,,,,
2824,2014,Kerala,Chalakudy,ANNAMMA JOY,F,52,GEN,AITC,Flowers and Grass,862,0,862,0.07,0.10,1150497,16,884033,0,0,OTHERS,,,,
2825,2014,Kerala,Chalakudy,K. AMBUJAKSHAN,M,47,SC,WPOI,Gas Cylinder,12931,11,12942,1.13,1.46,1150497,6,884033,0,0,OTHERS,,,,
2826,2014,Kerala,Chalakudy,JAYAN KONIKARA,M,47,SC,CPIM,Saw,932,0,932,0.08,0.11,1150497,14,884033,0,0,OTHERS,,,,
2827,2014,Kerala,Chalakudy,K M NOORDEEN,M,62,GEN,AAAP,Broom,35157,32,35189,3.06,3.98,1150497,4,884033,0,0,OTHERS,,,,
2828,2014,Kerala,Chalakudy,SHAFEER MUHAMMED,M,35,GEN,SDPI,Ceiling Fan,14384,2,14386,1.25,1.63,1150497,5,884033,0,0,OTHERS,,,,
2829,2014,Kerala,Chalakudy,SAJI THURUTHIKUNNEL,M,41,GEN,SHS,Bow & Arrow,1114,0,1114,0.10,0.13,1150497,13,884033,0,0,NDA,,,,
2830,2014,Kerala,Chalakudy,ABDUL KAREEM,M,53,GEN,IND,Bat,1376,0,1376,0.12,0.16,1150497,11,884033,0,0,OTHERS,,,,
2831,2014,Kerala,Chalakudy,INNOCENT,M,66,GEN,IND,Pot,358020,420,358440,31.16,40.50,1150497,1,884033,1,0,OTHERS,,,,
2832,2014,Kerala,Chalakudy,JAISON PANIKULANGARA,M,55,GEN,IND,Walking Stick,2050,2,2052,0.18,0.23,1150497,9,884033,0,0,OTHERS,,,,
2833,2014,Kerala,Chalakudy,EDAPPALLY BASHEER,M,57,GEN,IND,Auto- Rickshaw,1346,0,1346,0.12,0.15,1150497,12,884033,0,0,OTHERS,,,,
2834,2014,Kerala,Chalakudy,T D BABURAJAN,M,56,GEN,IND,Battery Torch,900,0,900,0.08,0.10,1150497,15,884033,0,0,OTHERS,,,,
2835,2014,Kerala,Chalakudy,VINCENT,M,44,GEN,IND,Television,4596,0,4596,0.40,0.52,1150497,8,884033,0,0,OTHERS,,,,
2836,2014,Kerala,Chalakudy,None of the Above,,,,NOTA,NOTA,10546,6,10552,0.92,1.19,1150497,7,884033,0,0,OTHERS,,,,
2837,2014,Kerala,Ernakulam,K C KARTHIKEYAN,M,60,SC,BSP,Elephant,2685,0,2685,0.23,0.32,1156492,11,850834,0,0,OTHERS,,,,
2838,2014,Kerala,Ernakulam,PROF. K.V. THOMAS,M,67,GEN,INC,Hand,353552,289,353841,30.60,41.58,1156492,1,850834,1,0,UPA,,,,
2839,2014,Kerala,Ernakulam,A.N. RADHAKRISHNAN,M,54,GEN,BJP,Lotus,98933,70,99003,8.56,11.64,1156492,3,850834,0,0,NDA,,,,
2840,2014,Kerala,Ernakulam,ANITA PRATAP,F,55,GEN,AAAP,Broom,51454,63,51517,4.46,6.05,1156492,4,850834,0,0,OTHERS,,,,
2841,2014,Kerala,Ernakulam,KRISHNANKUTTY M.K.,M,48,SC,CPIM,Saw,950,0,950,0.08,0.11,1156492,17,850834,0,0,OTHERS,,,,
2842,2014,Kerala,Ernakulam,P.D. CHANDRABHANU,M,62,GEN,SRP,Telephone,6156,0,6156,0.53,0.72,1156492,9,850834,0,0,OTHERS,,,,
2843,2014,Kerala,Ernakulam,DENSIL MENDEZ,M,50,GEN,JD(U),Arrow,2629,1,2630,0.23,0.31,1156492,12,850834,0,0,OTHERS,,,,
2844,2014,Kerala,Ernakulam,ZULFICAR ALI,M,39,GEN,SDPI,Ceiling Fan,14822,3,14825,1.28,1.74,1156492,6,850834,0,0,OTHERS,,,,
2845,2014,Kerala,Ernakulam,ANIL KUMAR,M,44,SC,IND,Gas Cylinder,1180,0,1180,0.10,0.14,1156492,15,850834,0,0,OTHERS,,,,
2846,2014,Kerala,Ernakulam,KISHORE,M,38,GEN,IND,Shuttle,5011,0,5011,0.43,0.59,1156492,10,850834,0,0,OTHERS,,,,
2847,2014,Kerala,Ernakulam,DR. CHRISTY FERNANDEZ,M,64,GEN,IND,Television,266372,422,266794,23.07,31.35,1156492,2,850834,0,1,OTHERS,,,,
2848,2014,Kerala,Ernakulam,JUNO JOHN BABY,M,39,GEN,IND,Ice Cream,1080,0,1080,0.09,0.13,1156492,16,850834,0,0,OTHERS,,,,
2849,2014,Kerala,Ernakulam,N J PIOUS,M,46,GEN,IND,Auto- Rickshaw,2342,2,2344,0.20,0.28,1156492,13,850834,0,0,OTHERS,,,,
2850,2014,Kerala,Ernakulam,K.V. BHASKARAN,M,64,GEN,IND,Pot,22723,10,22733,1.97,2.67,1156492,5,850834,0,0,OTHERS,,,,
2851,2014,Kerala,Ernakulam,RAJANEESH BABU,M,33,GEN,IND,Camera,8246,0,8246,0.71,0.97,1156492,8,850834,0,0,OTHERS,,,,
2852,2014,Kerala,Ernakulam,ADV. RADHAKRISHNAN P T,M,45,GEN,IND,Bat,2104,0,2104,0.18,0.25,1156492,14,850834,0,0,OTHERS,,,,
2853,2014,Kerala,Ernakulam,None of the Above,,,,NOTA,NOTA,9726,9,9735,0.84,1.14,1156492,7,850834,0,0,OTHERS,,,,
2854,2014,Kerala,Idukki,ADV.DEAN KURIAKOSE,M,32,GEN,INC,Hand,330755,722,331477,28.61,40.41,1158735,2,819766,0,1,UPA,,,,
2855,2014,Kerala,Idukki,APPANCHIRA PONNAPPAN,M,62,GEN,BSP,Elephant,2476,1,2477,0.21,0.30,1158735,10,819766,0,0,OTHERS,,,,
2856,2014,Kerala,Idukki,ADV.SABU VARGHESE,M,51,GEN,BJP,Lotus,50405,33,50438,4.35,6.15,1158735,3,819766,0,0,NDA,,,,
2857,2014,Kerala,Idukki,T.K.TOMY,M,41,GEN,CPIM,Saw,3970,1,3971,0.34,0.48,1158735,8,819766,0,0,OTHERS,,,,
2858,2014,Kerala,Idukki,MUHAMMED SHARAFUDHEEN,M,39,GEN,SDPI,Ceiling Fan,10401,0,10401,0.90,1.27,1158735,6,819766,0,0,OTHERS,,,,
2859,2014,Kerala,Idukki,SILVI SUNIL,F,38,GEN,AAAP,Broom,11199,16,11215,0.97,1.37,1158735,5,819766,0,0,OTHERS,,,,
2860,2014,Kerala,Idukki,ANISH MARIYIL,M,42,GEN,IND,Pot,629,0,629,0.05,0.08,1158735,14,819766,0,0,OTHERS,,,,
2861,2014,Kerala,Idukki,JAMES JOSEPH,M,42,GEN,IND,Letter Box,1156,2,1158,0.10,0.14,1158735,13,819766,0,0,OTHERS,,,,
2862,2014,Kerala,Idukki,JOYCE GEORGE,F,32,GEN,IND,Television,6024,0,6024,0.52,0.73,1158735,7,819766,0,0,OTHERS,,,,
2863,2014,Kerala,Idukki,ADV.JOICE GEORGE,M,44,GEN,IND,Battery Torch,381638,381,382019,32.97,46.57,1158735,1,819766,1,0,OTHERS,,,,
2864,2014,Kerala,Idukki,JOICE GEORGE,M,26,GEN,IND,Coconut,3057,0,3057,0.26,0.37,1158735,9,819766,0,0,OTHERS,,,,
2865,2014,Kerala,Idukki,P.C.JOLLY,M,49,GEN,IND,Gas Cylinder,550,0,550,0.05,0.07,1158735,15,819766,0,0,OTHERS,,,,
2866,2014,Kerala,Idukki,BIJU JOSEPH,M,44,GEN,IND,Auto- Rickshaw,493,0,493,0.04,0.06,1158735,16,819766,0,0,OTHERS,,,,
2867,2014,Kerala,Idukki,ADV.CHITTOOR RAJAMANNAR,M,55,GEN,IND,Table Lamp,415,0,415,0.04,0.05,1158735,17,819766,0,0,OTHERS,,,,
2868,2014,Kerala,Idukki,SHOBY JOSEPH,M,28,GEN,IND,Candles,1179,0,1179,0.10,0.14,1158735,12,819766,0,0,OTHERS,,,,
2869,2014,Kerala,Idukki,SOMINI PRABHAKARAN,F,45,SC,IND,Pressure Cooker,1925,0,1925,0.17,0.23,1158735,11,819766,0,0,OTHERS,,,,
2870,2014,Kerala,Idukki,None of the Above,,,,NOTA,NOTA,12325,13,12338,1.06,1.50,1158735,4,819766,0,0,OTHERS,,,,
2871,2014,Kerala,Kottayam,JOSE K. MANI,M,49,GEN,KEC(M),Two Leaves,423463,731,424194,36.53,50.96,1161465,1,831636,1,0,UPA,,,,
2872,2014,Kerala,Kottayam,ADV.MATHEW T. THOMAS,M,52,GEN,JD(S),A lady farmer carrying paddy on her head,302981,614,303595,26.14,36.47,1161465,2,831636,0,1,OTHERS,,,,
2873,2014,Kerala,Kottayam,SREENI K. JACOB,M,44,GEN,BSP,Elephant,6730,2,6732,0.58,0.81,1161465,6,831636,0,0,OTHERS,,,,
2874,2014,Kerala,Kottayam,ADV.ANIL AIKKARA,M,40,GEN,AAAP,Broom,26342,39,26381,2.27,3.17,1161465,4,831636,0,0,OTHERS,,,,
2875,2014,Kerala,Kottayam,N.K.BIJU,M,46,GEN,SUCI,Glass Tumbler,2872,7,2879,0.25,0.35,1161465,8,831636,0,0,OTHERS,,,,
2876,2014,Kerala,Kottayam,SASIKKUTTAN VAKATHANAM,M,58,GEN,CPIM,Saw,1048,0,1048,0.09,0.13,1161465,11,831636,0,0,OTHERS,,,,
2877,2014,Kerala,Kottayam,ROY ARACKAL,M,45,GEN,SDPI,Ceiling Fan,3512,1,3513,0.30,0.42,1161465,7,831636,0,0,OTHERS,,,,
2878,2014,Kerala,Kottayam,JAMES JOSEPH,M,47,GEN,IND,Television,1831,0,1831,0.16,0.22,1161465,10,831636,0,0,OTHERS,,,,
2879,2014,Kerala,Kottayam,ADV.NOBLE MATHEW,M,51,GEN,IND,Auto- Rickshaw,44313,44,44357,3.82,5.33,1161465,3,831636,0,0,OTHERS,,,,
2880,2014,Kerala,Kottayam,PRAVEEN K. MOHAN,M,37,SC,IND,Pot,924,1,925,0.08,0.11,1161465,12,831636,0,0,OTHERS,,,,
2881,2014,Kerala,Kottayam,RATHEESH PERUMAL,M,27,SC,IND,Chappals,2157,0,2157,0.19,0.26,1161465,9,831636,0,0,OTHERS,,,,
2882,2014,Kerala,Kottayam,None of the Above,,,,NOTA,NOTA,14011,13,14024,1.21,1.68,1161465,5,831636,0,0,OTHERS,,,,
2883,2014,Kerala,Alappuzha,C B CHANDRABABU,M,53,GEN,CPM,"Hammer, Sickle and Star",441571,1547,443118,34.86,44.37,1271324,2,997464,0,1,OTHERS,,,,
2884,2014,Kerala,Alappuzha,P V NATESAN,M,57,SC,BSP,Elephant,3384,1,3385,0.27,0.34,1271324,8,997464,0,0,OTHERS,,,,
2885,2014,Kerala,Alappuzha,K C VENUGOPAL,M,51,GEN,INC,Hand,461101,1424,462525,36.39,46.32,1271324,1,997464,1,0,UPA,,,,
2886,2014,Kerala,Alappuzha,PROF.A.V.THAMARAKSHAN,M,67,GEN,RSPK(B),Gas Cylinder,43006,45,43051,3.39,4.31,1271324,3,997464,0,0,OTHERS,,,,
2887,2014,Kerala,Alappuzha,THULASEEDHARAN PALLICKAL,M,45,SC,SDPI,Ceiling Fan,10989,4,10993,0.86,1.10,1271324,5,997464,0,0,OTHERS,,,,
2888,2014,Kerala,Alappuzha,ADV.M.A.BINDU,F,43,GEN,SUCI,Glass Tumbler,5918,3,5921,0.47,0.59,1271324,7,997464,0,0,OTHERS,,,,
2889,2014,Kerala,Alappuzha,D MOHANAN,M,59,GEN,AAAP,Broom,9373,41,9414,0.74,0.94,1271324,6,997464,0,0,OTHERS,,,,
2890,2014,Kerala,Alappuzha,CHANDRABABU G,M,48,GEN,IND,Plate Stand,1613,2,1615,0.13,0.16,1271324,10,997464,0,0,OTHERS,,,,
2891,2014,Kerala,Alappuzha,JAYACHANDRAN SARASAMMA,M,40,SC,IND,Pen Nib with Seven Rays,481,0,481,0.04,0.05,1271324,13,997464,0,0,OTHERS,,,,
2892,2014,Kerala,Alappuzha,M M PAULOSE,M,78,GEN,IND,Battery Torch,402,0,402,0.03,0.04,1271324,14,997464,0,0,OTHERS,,,,
2893,2014,Kerala,Alappuzha,S.B.BASHEER,M,65,GEN,IND,Pot,709,0,709,0.06,0.07,1271324,12,997464,0,0,OTHERS,,,,
2894,2014,Kerala,Alappuzha,T S BALAKRISHNAN,M,54,GEN,IND,Television,1363,0,1363,0.11,0.14,1271324,11,997464,0,0,OTHERS,,,,
2895,2014,Kerala,Alappuzha,VENUGOPAL P C,M,58,GEN,IND,Carrot,3148,1,3149,0.25,0.32,1271324,9,997464,0,0,OTHERS,,,,
2896,2014,Kerala,Alappuzha,None of the Above,,,,NOTA,NOTA,11321,17,11338,0.89,1.14,1271324,4,997464,0,0,OTHERS,,,,
2897,2014,Kerala,Mavelikkara ,ADV.P.K.JAYAKRISHNAN,M,34,SC,BSP,Elephant,3599,4,3603,0.29,0.41,1252668,8,889060,0,0,OTHERS,,,,
2898,2014,Kerala,Mavelikkara ,ADV.P.SUDHEER,M,32,SC,BJP,Lotus,79666,77,79743,6.37,8.97,1252668,3,889060,0,0,NDA,,,,
2899,2014,Kerala,Mavelikkara ,CHENGARA SURENDRAN,M,46,SC,CPI,Ears of Corn And Sickle,368892,803,369695,29.52,41.57,1252668,2,889060,0,1,OTHERS,,,,
2900,2014,Kerala,Mavelikkara ,KODIKUNNIL SURESH,M,52,SC,INC,Hand,401485,947,402432,32.13,45.25,1252668,1,889060,1,0,UPA,,,,
2901,2014,Kerala,Mavelikkara ,JYOTHISH PERUMPULICKAL,M,40,SC,SDPI,Ceiling Fan,8945,1,8946,0.71,1.01,1252668,5,889060,0,0,OTHERS,,,,
2902,2014,Kerala,Mavelikkara ,SASIKALA K S,F,44,SC,SUCI,Glass Tumbler,4733,3,4736,0.38,0.53,1252668,7,889060,0,0,OTHERS,,,,
2903,2014,Kerala,Mavelikkara ,N SADANANDAN,M,67,SC,AAAP,Broom,7720,33,7753,0.62,0.87,1252668,6,889060,0,0,OTHERS,,,,
2904,2014,Kerala,Mavelikkara ,PIRAVATHOOR SREEDHARAN,M,59,SC,IND,Camera,1206,1,1207,0.10,0.14,1252668,10,889060,0,0,OTHERS,,,,
2905,2014,Kerala,Mavelikkara ,PALLICKAL SURENDRAN,M,53,SC,IND,Dish Antenna,1486,0,1486,0.12,0.17,1252668,9,889060,0,0,OTHERS,,,,
2906,2014,Kerala,Mavelikkara ,None of the Above,,,,NOTA,NOTA,9448,11,9459,0.76,1.06,1252668,4,889060,0,0,OTHERS,,,,
2907,2014,Kerala,Pathanamthitta,ANTO ANTONY,M,57,GEN,INC,Hand,358435,407,358842,27.12,41.19,1323906,1,869452,1,0,UPA,,,,
2908,2014,Kerala,Pathanamthitta,M T REMESH,M,43,GEN,BJP,Lotus,138785,169,138954,10.50,15.95,1323906,3,869452,0,0,NDA,,,,
2909,2014,Kerala,Pathanamthitta,SELEENA PRAKKANAM,F,34,GEN,BSP,Elephant,10384,0,10384,0.78,1.19,1323906,7,869452,0,0,OTHERS,,,,
2910,2014,Kerala,Pathanamthitta,ALEYAMMA VARGHESE,F,61,GEN,AITC,Flowers and Grass,1236,0,1236,0.09,0.14,1323906,10,869452,0,0,OTHERS,,,,
2911,2014,Kerala,Pathanamthitta,MANSOOR THENGANA,M,47,GEN,SDPI,Ceiling Fan,11351,2,11353,0.86,1.30,1323906,6,869452,0,0,OTHERS,,,,
2912,2014,Kerala,Pathanamthitta,S RADHAMANI,F,50,GEN,SUCI,Glass Tumbler,2894,7,2901,0.22,0.33,1323906,9,869452,0,0,OTHERS,,,,
2913,2014,Kerala,Pathanamthitta,SABUKUTTY JOY (SABU PUTHUCHIRA),M,56,GEN,SLAP,Bat,682,0,682,0.05,0.08,1323906,15,869452,0,0,OTHERS,,,,
2914,2014,Kerala,Pathanamthitta,AJITH KUMAR K. K,M,44,SC,IND,Batsman,748,0,748,0.06,0.09,1323906,14,869452,0,0,OTHERS,,,,
2915,2014,Kerala,Pathanamthitta,PEELIPOSE,M,72,GEN,IND,Camera,16492,1,16493,1.25,1.89,1323906,5,869452,0,0,OTHERS,,,,
2916,2014,Kerala,Pathanamthitta,ADV. PEELIPOSE THOMAS,M,64,GEN,IND,Auto- Rickshaw,302173,478,302651,22.87,34.74,1323906,2,869452,0,1,OTHERS,,,,
2917,2014,Kerala,Pathanamthitta,PUSHPANGATHAN,M,55,SC,IND,Ring,953,0,953,0.07,0.11,1323906,13,869452,0,0,OTHERS,,,,
2918,2014,Kerala,Pathanamthitta,MATHEW PAREY,M,31,GEN,IND,Scissors,384,0,384,0.03,0.04,1323906,17,869452,0,0,OTHERS,,,,
2919,2014,Kerala,Pathanamthitta,S RADHAKRISHNAN,M,52,GEN,IND,Chappals,1021,0,1021,0.08,0.12,1323906,11,869452,0,0,OTHERS,,,,
2920,2014,Kerala,Pathanamthitta,LALITHA MALAYALAPPUZHA,F,42,SC,IND,Violin,460,0,460,0.03,0.05,1323906,16,869452,0,0,OTHERS,,,,
2921,2014,Kerala,Pathanamthitta,SHILVIN KOTTACKAKATHU,M,43,GEN,IND,Shuttle,1005,0,1005,0.08,0.12,1323906,12,869452,0,0,OTHERS,,,,
2922,2014,Kerala,Pathanamthitta,SANTHOSH KUMAR,M,39,GEN,IND,Television,4845,2,4847,0.37,0.56,1323906,8,869452,0,0,OTHERS,,,,
2923,2014,Kerala,Pathanamthitta,None of the Above,,,,NOTA,NOTA,16528,10,16538,1.25,1.90,1323906,4,869452,0,0,OTHERS,,,,
2924,2014,Kerala,Kollam,ADV.S.PRAHLADAN,M,58,GEN,BSP,Elephant,4264,2,4266,0.35,0.49,1219415,6,879056,0,0,OTHERS,,,,
2925,2014,Kerala,Kollam,M.A. BABY,M,59,GEN,CPM,"Hammer, Sickle and Star",369343,1536,370879,30.42,42.18,1219415,2,879056,0,1,OTHERS,,,,
2926,2014,Kerala,Kollam,P.M. VELAYUDHAN,M,61,SC,BJP,Lotus,58605,66,58671,4.81,6.67,1219415,3,879056,0,0,NDA,,,,
2927,2014,Kerala,Kollam,N.K.PREMACHANDRAN,M,53,GEN,RSP,Spade & Stoker,407021,1507,408528,33.51,46.47,1219415,1,879056,1,0,UPA,,,,
2928,2014,Kerala,Kollam,A.K.SALAHUDEEN,M,45,GEN,SDPI,Ceiling Fan,12811,1,12812,1.05,1.46,1219415,4,879056,0,0,OTHERS,,,,
2929,2014,Kerala,Kollam,C. INDULAL EX-SERVICE MAN,M,48,GEN,IND,Helmet,1709,0,1709,0.14,0.19,1219415,11,879056,0,0,OTHERS,,,,
2930,2014,Kerala,Kollam,A. JOSEKUTTY,M,58,GEN,IND,Coconut,1702,0,1702,0.14,0.19,1219415,12,879056,0,0,OTHERS,,,,
2931,2014,Kerala,Kollam,R. PREMACHANDRAN,M,44,GEN,IND,Shuttle,2807,1,2808,0.23,0.32,1219415,10,879056,0,0,OTHERS,,,,
2932,2014,Kerala,Kollam,V.S. PREMACHANDRAN,M,58,GEN,IND,Battery Torch,3332,1,3333,0.27,0.38,1219415,8,879056,0,0,OTHERS,,,,
2933,2014,Kerala,Kollam,M. BABY,M,61,SC,IND,Television,3364,0,3364,0.28,0.38,1219415,7,879056,0,0,OTHERS,,,,
2934,2014,Kerala,Kollam,K. BHASKARAN,M,66,GEN,IND,Cup & Saucer,3102,6,3108,0.25,0.35,1219415,9,879056,0,0,OTHERS,,,,
2935,2014,Kerala,Kollam,None of the Above,,,,NOTA,NOTA,7861,15,7876,0.65,0.90,1219415,5,879056,0,0,OTHERS,,,,
2936,2014,Kerala,Attingal,ANIL KUMAR N S,M,45,GEN,BSP,Elephant,8584,2,8586,0.69,1.00,1251398,5,859350,0,0,OTHERS,,,,
2937,2014,Kerala,Attingal,GIRIJA KUMARI.S,F,48,GEN,BJP,Lotus,90395,133,90528,7.24,10.53,1251398,3,859350,0,0,NDA,,,,
2938,2014,Kerala,Attingal,ADV.BINDHU KRISHNA,F,41,GEN,INC,Hand,321540,1560,323100,25.83,37.60,1251398,2,859350,0,1,UPA,,,,
2939,2014,Kerala,Attingal,DR.A .SAMPATH,M,51,GEN,CPM,"Hammer, Sickle and Star",391346,1132,392478,31.37,45.67,1251398,1,859350,1,0,OTHERS,,,,
2940,2014,Kerala,Attingal,VAKKOM G AJITH,M,36,GEN,SHS,Bow & Arrow,5511,0,5511,0.44,0.64,1251398,7,859350,0,0,NDA,,,,
2941,2014,Kerala,Attingal,ADV. CHIRAYINKEEZHU GOPINATHAN,M,66,SC,RPI(A),Sewing Machine,736,0,736,0.06,0.09,1251398,14,859350,0,0,OTHERS,,,,
2942,2014,Kerala,Attingal,PRIYA SUNIL,F,42,GEN,WPOI,Gas Cylinder,4857,5,4862,0.39,0.57,1251398,8,859350,0,0,OTHERS,,,,
2943,2014,Kerala,Attingal,M.K.MANOJ KUMAR,M,47,SC,SDPI,Ceiling Fan,11223,2,11225,0.90,1.31,1251398,4,859350,0,0,OTHERS,,,,
2944,2014,Kerala,Attingal,ADV.M. R.SARIN,M,37,GEN,JD(U),Arrow,576,0,576,0.05,0.07,1251398,17,859350,0,0,OTHERS,,,,
2945,2014,Kerala,Attingal,DAS K VARKALA,M,41,SC,IND,Dish Antenna,2375,0,2375,0.19,0.28,1251398,11,859350,0,0,OTHERS,,,,
2946,2014,Kerala,Attingal,VIVEKANANDAN,M,64,GEN,IND,Ring,615,0,615,0.05,0.07,1251398,16,859350,0,0,OTHERS,,,,
2947,2014,Kerala,Attingal,SAMBATH ANILKUMAR,M,26,GEN,IND,Bread,2221,0,2221,0.18,0.26,1251398,12,859350,0,0,OTHERS,,,,
2948,2014,Kerala,Attingal,SUNILKRISHNAN,M,36,GEN,IND,Auto- Rickshaw,3848,2,3850,0.31,0.45,1251398,10,859350,0,0,OTHERS,,,,
2949,2014,Kerala,Attingal,IRINCHAYAM SURESH,M,40,GEN,IND,Battery Torch,1052,0,1052,0.08,0.12,1251398,13,859350,0,0,OTHERS,,,,
2950,2014,Kerala,Attingal,SURESHKUMAR THONNAKKAL,M,44,GEN,IND,Bat,647,0,647,0.05,0.08,1251398,15,859350,0,0,OTHERS,,,,
2951,2014,Kerala,Attingal,HARIHARAN K S,M,50,GEN,IND,Glass Tumbler,4063,1,4064,0.32,0.47,1251398,9,859350,0,0,OTHERS,,,,
2952,2014,Kerala,Attingal,None of the Above,,,,NOTA,NOTA,6918,6,6924,0.55,0.81,1251398,6,859350,0,0,OTHERS,,,,
2953,2014,Kerala,Thiruvananthapuram,DOCTOR BENNET ABRAHAM,M,55,GEN,CPI,Ears of Corn And Sickle,248202,739,248941,19.56,28.50,1272748,3,873441,0,0,OTHERS,,,,
2954,2014,Kerala,Thiruvananthapuram,O RAJAGOPAL,M,84,GEN,BJP,Lotus,281818,518,282336,22.19,32.32,1272748,2,873441,0,1,NDA,,,,
2955,2014,Kerala,Thiruvananthapuram,DR. SHASHI THAROOR,M,58,GEN,INC,Hand,296319,1487,297806,23.40,34.10,1272748,1,873441,1,0,UPA,,,,
2956,2014,Kerala,Thiruvananthapuram,J SUDHAKARAN,M,65,SC,BSP,Elephant,3256,4,3260,0.26,0.37,1272748,8,873441,0,0,OTHERS,,,,
2957,2014,Kerala,Thiruvananthapuram,AJIT JOY,M,45,GEN,AAAP,Broom,14113,40,14153,1.11,1.62,1272748,4,873441,0,0,OTHERS,,,,
2958,2014,Kerala,Thiruvananthapuram,R CHANDRIKA KATTAKADA,F,57,GEN,RPI,Television,292,0,292,0.02,0.03,1272748,20,873441,0,0,OTHERS,,,,
2959,2014,Kerala,Thiruvananthapuram,THOMAS JOSEPH,M,50,GEN,RPI(A),Sewing Machine,261,0,261,0.02,0.03,1272748,21,873441,0,0,OTHERS,,,,
2960,2014,Kerala,Thiruvananthapuram,O V SREEDATH,M,35,GEN,SRP,Dish Antenna,356,0,356,0.03,0.04,1272748,19,873441,0,0,OTHERS,,,,
