Year,Voters,Electors
1951,105950083,173212343
1957,120513915,193652179
1962,119904284,216361569
1967,152724611,250207401
1971,151536802,274189132
1977,194263915,321174327
1980,202752893,356205329
1984,256294963,400375333
1989,309050495,498906129
1991,285856465,511533598
1996,343308090,592572288
1998,375441739,605880192
1999,371669104,619536847
2004,389948330,671487930
2014,554175255,834082814
2019,610834049,908722153
