id,year,statename,pcname,candidate,sex,age,PC Type,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance
24,1998,ANDHRA PRADESH,Bhadrachalam,KECHELA RANGA REDDI,M,,ST,,IND,,,,25185,2.30%,3.64%,1093137,5,691952,0,0,OTHERS
25,1998,ANDHRA PRADESH,Bhadrachalam,MURLA YERRAYYA REDDY,M,,ST,,IND,,,,5252,0.48%,0.76%,1093137,6,691952,0,0,OTHERS
26,1998,ANDHRA PRADESH,Bhadrachalam,GORLE VINOD CHAND,M,,ST,,IND,,,,3735,0.34%,0.54%,1093137,7,691952,0,0,OTHERS
27,1998,ANDHRA PRADESH,Anakapalli,GURUNADHA RAO GUDIVADA,M,,GEN,,INC,,,,321840,31.41%,43.28%,1024801,1,743582,1,0,CONGRESS
28,1998,ANDHRA PRADESH,Anakapalli,AYYANNA PATRUDU CHINTAKAYALA,M,,GEN,,TDP,,,,295915,28.88%,39.80%,1024801,2,743582,0,1,OTHERS
29,1998,ANDHRA PRADESH,Anakapalli,P.V.CHALAPATHI RAO,M,,GEN,,BJP,,,,114360,11.16%,15.38%,1024801,3,743582,0,0,NDA
30,1998,ANDHRA PRADESH,Kakinada,KRISHNAMRAJU U.V.,M,,GEN,,BJP,,,,330381,28.49%,40.53%,1159644,1,815242,1,0,NDA
31,1998,ANDHRA PRADESH,Kakinada,GOPALA KRISHNA THOTA,M,,GEN,,TDP,,,,262582,22.64%,32.21%,1159644,2,815242,0,1,OTHERS
32,1998,ANDHRA PRADESH,Kakinada,MALLIPUDI MANGAPATHI PALLAMRAJU,M,,GEN,,INC,,,,193178,16.66%,23.70%,1159644,3,815242,0,0,CONGRESS
33,1998,ANDHRA PRADESH,Kakinada,MURTHY NAINALASETTY,M,,GEN,,CPI(ML)(L),,,,8682,0.75%,1.06%,1159644,4,815242,0,0,OTHERS
34,1998,ANDHRA PRADESH,Kakinada,CHOLLANGI VENU,M,,GEN,,BSP,,,,3549,0.31%,0.44%,1159644,5,815242,0,0,JAN MORCHA
35,1998,ANDHRA PRADESH,Kakinada,PITTA SAHADEVUDU,M,,GEN,,IND,,,,2381,0.21%,0.29%,1159644,6,815242,0,0,OTHERS
36,1998,ANDHRA PRADESH,Kakinada,RAJARAO GOLLEPALLI,M,,GEN,,IND,,,,1874,0.16%,0.23%,1159644,7,815242,0,0,OTHERS
37,1998,ANDHRA PRADESH,Kakinada,PENTAPATI CHANDRASEKHARARAO,M,,GEN,,IND,,,,1456,0.13%,0.18%,1159644,8,815242,0,0,OTHERS
38,1998,ANDHRA PRADESH,Kakinada,VADAKATTU NEHRU,M,,GEN,,IND,,,,569,0.05%,0.07%,1159644,9,815242,0,0,OTHERS
39,1998,ANDHRA PRADESH,Rajahmundry,GIRAJALA VENKATA SWAMY NAIDU,M,,GEN,,BJP,,,,285741,25.49%,36.15%,1121041,1,790514,1,0,NDA
40,1998,ANDHRA PRADESH,Rajahmundry,M.V.V.S. MURTHI,M,,GEN,,TDP,,,,275829,24.60%,34.89%,1121041,2,790514,0,1,OTHERS
41,1998,ANDHRA PRADESH,Rajahmundry,T.V.SATYANARAYANA REDDY,M,,GEN,,INC,,,,210901,18.81%,26.68%,1121041,3,790514,0,0,CONGRESS
42,1998,ANDHRA PRADESH,Rajahmundry,M. DURGAPRASAD,M,,GEN,,IND,,,,3440,0.31%,0.44%,1121041,4,790514,0,0,OTHERS
43,1998,ANDHRA PRADESH,Rajahmundry,BOYA PRASAD,M,,GEN,,IND,,,,3167,0.28%,0.40%,1121041,5,790514,0,0,OTHERS
44,1998,ANDHRA PRADESH,Rajahmundry,KANUMILLI VENKANNA DORA,M,,GEN,,IND,,,,1118,0.10%,0.14%,1121041,6,790514,0,0,OTHERS
45,1998,ANDHRA PRADESH,Rajahmundry,ANAPARTHI GOPALA KRISHNA,M,,GEN,,IND,,,,551,0.05%,0.07%,1121041,7,790514,0,0,OTHERS
46,1998,ANDHRA PRADESH,Rajahmundry,SATYAMSETTI NARAYANA RAO,M,,GEN,,IND,,,,351,0.03%,0.04%,1121041,8,790514,0,0,OTHERS
47,1998,ANDHRA PRADESH,Rajahmundry,DAYANA RAMAKRISHNA,M,,GEN,,IND,,,,248,0.02%,0.03%,1121041,9,790514,0,0,OTHERS
48,1998,ANDHRA PRADESH,Amalapuram,GANTI MOHANA CHANDRA BALAYOGI,M,,SC,,TDP,,,,286953,31.98%,43.09%,897362,1,666004,1,0,OTHERS
49,1998,ANDHRA PRADESH,Amalapuram,K.S.R.MURTHY,M,,SC,,INC,,,,196713,21.92%,29.54%,897362,2,666004,0,1,CONGRESS
50,1998,ANDHRA PRADESH,Amalapuram,UMAMAHESWARA RAO KOMMABATHULA,M,,SC,,BJP,,,,172301,19.20%,25.87%,897362,3,666004,0,0,NDA
51,1998,ANDHRA PRADESH,Amalapuram,BODDAPALLI NAGESWARA RAO,M,,SC,,IND,,,,1494,0.17%,0.22%,897362,4,666004,0,0,OTHERS
52,1998,ANDHRA PRADESH,Amalapuram,MOHAN RAO GOLLA,M,,SC,,ANP,,,,1108,0.12%,0.17%,897362,5,666004,0,0,OTHERS
53,1998,ANDHRA PRADESH,Narasapur,KANUMURU BAPI RAJU,M,,GEN,,INC,,,,368630,36.41%,50.14%,1012477,1,735245,1,0,CONGRESS
54,1998,ANDHRA PRADESH,Narasapur,KOTHAPALLI SUBBARAYUDU (PEDABABU),M,,GEN,,TDP,,,,320660,31.67%,43.61%,1012477,2,735245,0,1,OTHERS
55,1998,ANDHRA PRADESH,Narasapur,DR.PARAKALA PRABHAKAR,M,,GEN,,BJP,,,,33311,3.29%,4.53%,1012477,3,735245,0,0,NDA
56,1998,ANDHRA PRADESH,Narasapur,K.V.S. NARAYANA,M,,GEN,,IND,,,,2338,0.23%,0.32%,1012477,4,735245,0,0,OTHERS
57,1998,ANDHRA PRADESH,Narasapur,ESWARUDU KOLLABATTULA,M,,GEN,,IND,,,,1107,0.11%,0.15%,1012477,5,735245,0,0,OTHERS
58,1998,ANDHRA PRADESH,Narasapur,ROKKALA RAVIKUMAR,M,,GEN,,IND,,,,995,0.10%,0.14%,1012477,6,735245,0,0,OTHERS
59,1998,ANDHRA PRADESH,Narasapur,GANTA NARSIMHAMURTY,M,,GEN,,IND,,,,377,0.04%,0.05%,1012477,7,735245,0,0,OTHERS
60,1998,ANDHRA PRADESH,Narasapur,VARDHANAPU SUNDARRAO,M,,GEN,,IND,,,,176,0.02%,0.02%,1012477,8,735245,0,0,OTHERS
61,1998,ANDHRA PRADESH,Eluru,MAGANTI VENKATESWARA RAO (BABU),M,,GEN,,INC,,,,385412,34.74%,47.04%,1109524,1,819312,1,0,CONGRESS
62,1998,ANDHRA PRADESH,Eluru,BOLLA BULLI RAMAIAH,M,,GEN,,TDP,,,,361605,32.59%,44.14%,1109524,2,819312,0,1,OTHERS
63,1998,ANDHRA PRADESH,Eluru,JAYALAKSHMI YALAMARTHI,F,,GEN,,BJP,,,,52113,4.70%,6.36%,1109524,3,819312,0,0,NDA
64,1998,ANDHRA PRADESH,Eluru,KADIYALA RAMAMOHANA RAO,M,,GEN,,IND,,,,2686,0.24%,0.33%,1109524,4,819312,0,0,OTHERS
65,1998,ANDHRA PRADESH,Eluru,BEJJAM RAJESH PUTRA (B.R.P.),M,,GEN,,BSP,,,,2183,0.20%,0.27%,1109524,5,819312,0,0,JAN MORCHA
66,1998,ANDHRA PRADESH,Eluru,GANNI BABURAO,M,,GEN,,IND,,,,2100,0.19%,0.26%,1109524,6,819312,0,0,OTHERS
67,1998,ANDHRA PRADESH,Eluru,MAGANTI SITARAMA SWAMY,M,,GEN,,IND,,,,711,0.06%,0.09%,1109524,7,819312,0,0,OTHERS
68,1998,ANDHRA PRADESH,Eluru,KODURI SREERAMULU,M,,GEN,,IND,,,,401,0.04%,0.05%,1109524,8,819312,0,0,OTHERS
69,1998,ANDHRA PRADESH,Eluru,NAVIN BABU DAYYALA,M,,GEN,,IND,,,,394,0.04%,0.05%,1109524,9,819312,0,0,OTHERS
70,1998,ANDHRA PRADESH,Eluru,KOYYALAMUDI VENKATARATNAM,M,,GEN,,IND,,,,389,0.04%,0.05%,1109524,10,819312,0,0,OTHERS
71,1998,ANDHRA PRADESH,Eluru,ATTINTI CHANDRA RAO,M,,GEN,,IND,,,,310,0.03%,0.04%,1109524,11,819312,0,0,OTHERS
72,1998,ANDHRA PRADESH,Machilipatnam,KAVURU SAMBASIVA RAO,M,,GEN,,INC,,,,355030,35.73%,50.70%,993538,1,700195,1,0,CONGRESS
73,1998,ANDHRA PRADESH,Machilipatnam,KAIKALA SATYANARAYANA,M,,GEN,,TDP,,,,273938,27.57%,39.12%,993538,2,700195,0,1,OTHERS
74,1998,ANDHRA PRADESH,Machilipatnam,NAGARJUNA RAO VEMURI,M,,GEN,,BJP,,,,58012,5.84%,8.29%,993538,3,700195,0,0,NDA
75,1998,ANDHRA PRADESH,Machilipatnam,SUBRAMAHESWARA RAO YANDURI(MANI),M,,GEN,,IND,,,,2240,0.23%,0.32%,993538,4,700195,0,0,OTHERS
76,1998,ANDHRA PRADESH,Machilipatnam,P.S.ANJANEYULU,M,,GEN,,RPP,,,,1242,0.13%,0.18%,993538,5,700195,0,0,OTHERS
77,1998,ANDHRA PRADESH,Machilipatnam,BOYINA BOYINA SRISIVA VENKATA SATYANARAYANA,M,,GEN,,IND,,,,919,0.09%,0.13%,993538,6,700195,0,0,OTHERS
78,1998,ANDHRA PRADESH,Machilipatnam,GOPICHAND NARRA,M,,GEN,,AJBP,,,,749,0.08%,0.11%,993538,7,700195,0,0,OTHERS
79,1998,ANDHRA PRADESH,Machilipatnam,KAMESWARA RAO DODDA,M,,GEN,,IND,,,,240,0.02%,0.03%,993538,8,700195,0,0,OTHERS
80,1998,ANDHRA PRADESH,Vijayawada,UPENDRA PARVATHANENI,M,,GEN,,INC,,,,405062,30.11%,44.52%,1345242,1,909871,1,0,CONGRESS
81,1998,ANDHRA PRADESH,Vijayawada,JAI RAMESH DASARI,M,,GEN,,TDP,,,,374995,27.88%,41.21%,1345242,2,909871,0,1,OTHERS
82,1998,ANDHRA PRADESH,Vijayawada,VADDE RAMAKRISHNA PRASAD,M,,GEN,,BJP,,,,104630,7.78%,11.50%,1345242,3,909871,0,0,NDA
83,1998,ANDHRA PRADESH,Vijayawada,NALLURI SUBBA RAO,M,,GEN,,IND,,,,3721,0.28%,0.41%,1345242,4,909871,0,0,OTHERS
84,1998,ANDHRA PRADESH,Vijayawada,KAMAL KUMAR B.P,M,,GEN,,BSP,,,,2847,0.21%,0.31%,1345242,5,909871,0,0,JAN MORCHA
85,1998,ANDHRA PRADESH,Vijayawada,SMT.VIDYA CHENNUPATI,F,,GEN,,IND,,,,2226,0.17%,0.24%,1345242,6,909871,0,0,OTHERS
86,1998,ANDHRA PRADESH,Vijayawada,AMMESWARA RAO GUMMADI,M,,GEN,,IND,,,,1170,0.09%,0.13%,1345242,7,909871,0,0,OTHERS
87,1998,ANDHRA PRADESH,Vijayawada,ESWARA RAO YELAMANCHILI,M,,GEN,,IND,,,,990,0.07%,0.11%,1345242,8,909871,0,0,OTHERS
88,1998,ANDHRA PRADESH,Vijayawada,DEVADAS SIRIPURAPU,M,,GEN,,SJP(R),,,,802,0.06%,0.09%,1345242,9,909871,0,0,JAN MORCHA
89,1998,ANDHRA PRADESH,Vijayawada,SMT. VIJAYA LAKSHMI VAGGALA,F,,GEN,,IND,,,,503,0.04%,0.06%,1345242,10,909871,0,0,OTHERS
90,1998,ANDHRA PRADESH,Vijayawada,NANDIGAM VISHNU,M,,GEN,,AJBP,,,,459,0.03%,0.05%,1345242,11,909871,0,0,OTHERS
91,1998,ANDHRA PRADESH,Vijayawada,YEDU KONDALU P.V,M,,GEN,,IND,,,,418,0.03%,0.05%,1345242,12,909871,0,0,OTHERS
92,1998,ANDHRA PRADESH,Vijayawada,ARLAGADDA BABU RAO,M,,GEN,,IND,,,,409,0.03%,0.04%,1345242,13,909871,0,0,OTHERS
93,1998,ANDHRA PRADESH,Vijayawada,ABRAHAM VARAPRASAD GUNDABATHINA,M,,GEN,,IND,,,,386,0.03%,0.04%,1345242,14,909871,0,0,OTHERS
94,1998,ANDHRA PRADESH,Vijayawada,KATAMRAJU YARAM,M,,GEN,,IND,,,,379,0.03%,0.04%,1345242,15,909871,0,0,OTHERS
95,1998,ANDHRA PRADESH,Vijayawada,ATLURI RAVINDRA PRASAD,M,,GEN,,IND,,,,349,0.03%,0.04%,1345242,16,909871,0,0,OTHERS
96,1998,ANDHRA PRADESH,Vijayawada,AZIT KUMAR REDDY THAMMA,M,,GEN,,IND,,,,190,0.01%,0.02%,1345242,17,909871,0,0,OTHERS
97,1998,ANDHRA PRADESH,Vijayawada,BALA NAGESWARA RAO CHIGURUPATI,M,,GEN,,IND,,,,147,0.01%,0.02%,1345242,18,909871,0,0,OTHERS
98,1998,ANDHRA PRADESH,Tenali,P.SHIV SHANKER,M,,GEN,,INC,,,,290014,30.19%,45.83%,960503,1,632751,1,0,CONGRESS
99,1998,ANDHRA PRADESH,Tenali,SARADA TADIPARTHI,F,,GEN,,TDP,,,,275478,28.68%,43.54%,960503,2,632751,0,1,OTHERS
100,1998,ANDHRA PRADESH,Tenali,RAGHUNADHA BABU YADLAPATI,M,,GEN,,BJP,,,,59547,6.20%,9.41%,960503,3,632751,0,0,NDA
101,1998,ANDHRA PRADESH,Tenali,KAMINENI KOTESWARARAO,M,,GEN,,IND,,,,752,0.08%,0.12%,960503,4,632751,0,0,OTHERS
102,1998,ANDHRA PRADESH,Guntur,RAYAPATI SAMBASIVA RAO,M,,GEN,,INC,,,,359456,28.42%,47.24%,1264693,1,760884,1,0,CONGRESS
103,1998,ANDHRA PRADESH,Guntur,LAL JAN BASHA S.M.,M,,GEN,,TDP,,,,302109,23.89%,39.71%,1264693,2,760884,0,1,OTHERS
104,1998,ANDHRA PRADESH,Guntur,AVULA VEERASEKHARARAO,M,,GEN,,BJP,,,,82193,6.50%,10.80%,1264693,3,760884,0,0,NDA
105,1998,ANDHRA PRADESH,Guntur,MURALISANKAR TATA,M,,GEN,,IND,,,,2841,0.22%,0.37%,1264693,4,760884,0,0,OTHERS
106,1998,ANDHRA PRADESH,Guntur,NAGARJUNACHARYA MUPPALLA,M,,GEN,,BSP,,,,2244,0.18%,0.29%,1264693,5,760884,0,0,JAN MORCHA
107,1998,ANDHRA PRADESH,Guntur,PANCHAKATLA VENKATA SUBBA RAO,M,,GEN,,IND,,,,1071,0.08%,0.14%,1264693,6,760884,0,0,OTHERS
108,1998,ANDHRA PRADESH,Guntur,GUNDEBOINA SATYANARAYANA,M,,GEN,,SP,,,,961,0.08%,0.13%,1264693,7,760884,0,0,OTHERS
109,1998,ANDHRA PRADESH,Guntur,MOKKAPATI VEERARAGHAVULU,M,,GEN,,IND,,,,621,0.05%,0.08%,1264693,8,760884,0,0,OTHERS
110,1998,ANDHRA PRADESH,Guntur,MUVVA VENKATRAO,M,,GEN,,IND,,,,369,0.03%,0.05%,1264693,9,760884,0,0,OTHERS
111,1998,ANDHRA PRADESH,Guntur,VIPPARLA KOTESWARARAO,M,,GEN,,IND,,,,198,0.02%,0.03%,1264693,10,760884,0,0,OTHERS
112,1998,ANDHRA PRADESH,Guntur,REDDY VENKATA SAMBASIVARAO,M,,GEN,,IND,,,,157,0.01%,0.02%,1264693,11,760884,0,0,OTHERS
113,1998,ANDHRA PRADESH,Bapatla,JANARDHANA REDDY NEDURUMALLI,M,,GEN,,INC,,,,316788,29.63%,46.75%,1069183,1,677578,1,0,CONGRESS
114,1998,ANDHRA PRADESH,Bapatla,UMMAREDDY VENKATESWARLU,M,,GEN,,TDP,,,,276300,25.84%,40.78%,1069183,2,677578,0,1,OTHERS
115,1998,ANDHRA PRADESH,Bapatla,GANESUNI RATHAIAH CHOWDARY,M,,GEN,,BJP,,,,66914,6.26%,9.88%,1069183,3,677578,0,0,NDA
116,1998,ANDHRA PRADESH,Bapatla,RAJASEKHARA BABU SALAGALA,M,,GEN,,BSP,,,,5873,0.55%,0.87%,1069183,4,677578,0,0,JAN MORCHA
117,1998,ANDHRA PRADESH,Bapatla,CHEBROLU YESUPARDHA,M,,GEN,,ANP,,,,807,0.08%,0.12%,1069183,5,677578,0,0,OTHERS
118,1998,ANDHRA PRADESH,Bapatla,POLLAKAYALA VIJAYANAND,M,,GEN,,IND,,,,777,0.07%,0.11%,1069183,6,677578,0,0,OTHERS
119,1998,ANDHRA PRADESH,Bapatla,GELLI MALLIKHARJUNA RAO,M,,GEN,,IND,,,,632,0.06%,0.09%,1069183,7,677578,0,0,OTHERS
120,1998,ANDHRA PRADESH,Bapatla,THOLU RAMAKOTESWARA RAO,M,,GEN,,IND,,,,593,0.06%,0.09%,1069183,8,677578,0,0,OTHERS
121,1998,ANDHRA PRADESH,Bapatla,KANDRU PRASAD RAO,M,,GEN,,IND,,,,262,0.02%,0.04%,1069183,9,677578,0,0,OTHERS
122,1998,ANDHRA PRADESH,Bapatla,HANUMANTHA RAO GOGULAMUDI,M,,GEN,,SHSP,,,,192,0.02%,0.03%,1069183,10,677578,0,0,OTHERS
123,1998,ANDHRA PRADESH,Bapatla,JAMPANI BRAHMAIAH,M,,GEN,,IND,,,,165,0.02%,0.02%,1069183,11,677578,0,0,OTHERS
124,1998,ANDHRA PRADESH,Bapatla,YETRA TIRUMALA REDDY,M,,GEN,,IND,,,,128,0.01%,0.02%,1069183,12,677578,0,0,OTHERS
125,1998,ANDHRA PRADESH,Bapatla,SRINIVASA RAO MADDUKURI,M,,GEN,,IND,,,,104,0.01%,0.02%,1069183,13,677578,0,0,OTHERS
126,1998,ANDHRA PRADESH,Narasaraopet,KONIJETI ROSAIAH,M,,GEN,,INC,,,,375815,29.92%,49.58%,1255993,1,758061,1,0,CONGRESS
127,1998,ANDHRA PRADESH,Narasaraopet,SAIDAIAH KOTA,M,,GEN,,TDP,,,,327996,26.11%,43.27%,1255993,2,758061,0,1,OTHERS
128,1998,ANDHRA PRADESH,Narasaraopet,KABBIREDDY  MEDIKONDA,M,,GEN,,BJP,,,,40452,3.22%,5.34%,1255993,3,758061,0,0,NDA
129,1998,ANDHRA PRADESH,Narasaraopet,CHALAVADI GURAVAIAH,M,,GEN,,RPP,,,,2446,0.19%,0.32%,1255993,4,758061,0,0,OTHERS
130,1998,ANDHRA PRADESH,Narasaraopet,GOTTIPATI PEDA JANARDHANA RAO,M,,GEN,,IND,,,,1007,0.08%,0.13%,1255993,5,758061,0,0,OTHERS
131,1998,ANDHRA PRADESH,Narasaraopet,PONNAPATI KOTESWARA REDDY,M,,GEN,,IND,,,,566,0.05%,0.07%,1255993,6,758061,0,0,OTHERS
132,1998,ANDHRA PRADESH,Ongole,MAGUNTA SREENIVASULU REDDY,M,,GEN,,INC,,,,351390,29.80%,47.17%,1179290,1,744922,1,0,CONGRESS
133,1998,ANDHRA PRADESH,Ongole,RAJAMOHAN REDDY MEKAPATI,M,,GEN,,TDP,,,,330524,28.03%,44.37%,1179290,2,744922,0,1,OTHERS
134,1998,ANDHRA PRADESH,Ongole,KONDAPALLI GURAVAIAH NAIDU,M,,GEN,,BJP,,,,25580,2.17%,3.43%,1179290,3,744922,0,0,NDA
135,1998,ANDHRA PRADESH,Ongole,N. PERA REDDY,M,,GEN,,IND,,,,12773,1.08%,1.71%,1179290,4,744922,0,0,OTHERS
136,1998,ANDHRA PRADESH,Ongole,M. CHANDRASEKHARA REDDY,M,,GEN,,IND,,,,2035,0.17%,0.27%,1179290,5,744922,0,0,OTHERS
137,1998,ANDHRA PRADESH,Ongole,BORRA SUBBAREDDY,M,,GEN,,IND,,,,1496,0.13%,0.20%,1179290,6,744922,0,0,OTHERS
138,1998,ANDHRA PRADESH,Ongole,MATTEGUNTA SAMUEL,M,,GEN,,IND,,,,1220,0.10%,0.16%,1179290,7,744922,0,0,OTHERS
139,1998,ANDHRA PRADESH,Ongole,REGALAGADDA SANJEEVAIAH YADAV,M,,GEN,,BSP,,,,1026,0.09%,0.14%,1179290,8,744922,0,0,JAN MORCHA
140,1998,ANDHRA PRADESH,Ongole,BELLAM SINGAIAH,M,,GEN,,IND,,,,940,0.08%,0.13%,1179290,9,744922,0,0,OTHERS
141,1998,ANDHRA PRADESH,Ongole,BANKA KONDAIAH,M,,GEN,,SP,,,,828,0.07%,0.11%,1179290,10,744922,0,0,OTHERS
142,1998,ANDHRA PRADESH,Ongole,PONNURU KRISHNA MURTHY,M,,GEN,,IND,,,,806,0.07%,0.11%,1179290,11,744922,0,0,OTHERS
143,1998,ANDHRA PRADESH,Ongole,DARAPANENI CHENNAIAH,M,,GEN,,IND,,,,736,0.06%,0.10%,1179290,12,744922,0,0,OTHERS
144,1998,ANDHRA PRADESH,Ongole,PULI SREENIVASULU REDDY,M,,GEN,,IND,,,,566,0.05%,0.08%,1179290,13,744922,0,0,OTHERS
145,1998,ANDHRA PRADESH,Ongole,JAYAKAR DASARI,M,,GEN,,IND,,,,545,0.05%,0.07%,1179290,14,744922,0,0,OTHERS
146,1998,ANDHRA PRADESH,Ongole,SHAIK RAFI,M,,GEN,,IND,,,,540,0.05%,0.07%,1179290,15,744922,0,0,OTHERS
147,1998,ANDHRA PRADESH,Ongole,CHANNAREDDY NARSIMHARAO,M,,GEN,,IND,,,,467,0.04%,0.06%,1179290,16,744922,0,0,OTHERS
148,1998,ANDHRA PRADESH,Ongole,ALLAM VENKATESWARLU,M,,GEN,,IND,,,,466,0.04%,0.06%,1179290,17,744922,0,0,OTHERS
149,1998,ANDHRA PRADESH,Ongole,MAKKENA CHANDRAMOULI,M,,GEN,,IND,,,,447,0.04%,0.06%,1179290,18,744922,0,0,OTHERS
150,1998,ANDHRA PRADESH,Ongole,DAGGUMATI BALAKOTAIAH,M,,GEN,,IND,,,,435,0.04%,0.06%,1179290,19,744922,0,0,OTHERS
151,1998,ANDHRA PRADESH,Ongole,SHAIK RASHEED,M,,GEN,,IND,,,,376,0.03%,0.05%,1179290,20,744922,0,0,OTHERS
152,1998,ANDHRA PRADESH,Ongole,PAPASANI PRASAD,M,,GEN,,IND,,,,359,0.03%,0.05%,1179290,21,744922,0,0,OTHERS
153,1998,ANDHRA PRADESH,Ongole,PARRE NAVEEN ROY,M,,GEN,,IND,,,,297,0.03%,0.04%,1179290,22,744922,0,0,OTHERS
154,1998,ANDHRA PRADESH,Ongole,ANKINAPALLE PEDA OBULA REDDY,M,,GEN,,IND,,,,291,0.02%,0.04%,1179290,23,744922,0,0,OTHERS
155,1998,ANDHRA PRADESH,Ongole,RONDA SEETHARAMI REDDY,M,,GEN,,IND,,,,235,0.02%,0.03%,1179290,24,744922,0,0,OTHERS
156,1998,ANDHRA PRADESH,Ongole,SANNEBOINA VENKATESWARLU,M,,GEN,,IND,,,,222,0.02%,0.03%,1179290,25,744922,0,0,OTHERS
157,1998,ANDHRA PRADESH,Ongole,KOLLU VENKATA SUBBAIAH,M,,GEN,,IND,,,,217,0.02%,0.03%,1179290,26,744922,0,0,OTHERS
158,1998,ANDHRA PRADESH,Ongole,VADDIMUKKALA SREENIVASARAO,M,,GEN,,IND,,,,210,0.02%,0.03%,1179290,27,744922,0,0,OTHERS
159,1998,ANDHRA PRADESH,Ongole,PATIBANDLA JOHN PAUL,M,,GEN,,IND,,,,193,0.02%,0.03%,1179290,28,744922,0,0,OTHERS
160,1998,ANDHRA PRADESH,Ongole,VENKATESWARA CHOWDARY GUNTUPALLI,M,,GEN,,IND,,,,144,0.01%,0.02%,1179290,29,744922,0,0,OTHERS
