id,year,statename,pcname,candidate,sex,age,PC Type,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance
1,1998,ANDHRA PRADESH,Srikakulam,KINJARAPU YERRANNAIDU,M,,GEN,,TDP,,,,286582,29.25%,42.57%,979623,1,673199,1,0,OTHERS
2,1998,ANDHRA PRADESH,Srikakulam,APPAYYA DORA HANUMANTHU,M,,GEN,,NTRTDP(LP),,,,200217,20.44%,29.74%,979623,2,673199,0,1,NDA
3,1998,ANDHRA PRADESH,Srikakulam,DHARMANA PRASADA RAO,M,,GEN,,INC,,,,175762,17.94%,26.11%,979623,3,673199,0,0,CONGRESS
4,1998,ANDHRA PRADESH,Srikakulam,TAMMINENI JAGANMOHANARAO,M,,GEN,,IND,,,,1792,0.18%,0.27%,979623,4,673199,0,0,OTHERS
5,1998,ANDHRA PRADESH,Parvathipuram,VIJAYA RAMARAJU SETRUCHARLA,M,,ST,,TDP,,,,299904,32.89%,49.57%,911746,1,604975,1,0,OTHERS
6,1998,ANDHRA PRADESH,Parvathipuram,PRADEEP KUMAR DEV VYRICHERLA,M,,ST,,INC,,,,276627,30.34%,45.73%,911746,2,604975,0,1,CONGRESS
7,1998,ANDHRA PRADESH,Parvathipuram,ARIKA GUMPASWAMY,M,,ST,,IND,,,,8771,0.96%,1.45%,911746,3,604975,0,0,OTHERS
8,1998,ANDHRA PRADESH,Parvathipuram,UYIKA MUTYALU,M,,ST,,IND,,,,7984,0.88%,1.32%,911746,4,604975,0,0,OTHERS
9,1998,ANDHRA PRADESH,Bobbili,KONDAPALLI PYDITHALLI NAIDU,M,,GEN,,TDP,,,,298961,31.80%,43.12%,940039,1,693268,1,0,OTHERS
10,1998,ANDHRA PRADESH,Bobbili,BOTCHA SATYANARAYANA,M,,GEN,,INC,,,,272053,28.94%,39.24%,940039,2,693268,0,1,CONGRESS
11,1998,ANDHRA PRADESH,Bobbili,VASIREDDY VARADA RAMA RAO,M,,GEN,,BJP,,,,105959,11.27%,15.28%,940039,3,693268,0,0,NDA
12,1998,ANDHRA PRADESH,Bobbili,VENKATA SURYA RAGHUNADHA VARMA POOSAPATI,M,,GEN,,IND,,,,3155,0.34%,0.46%,940039,4,693268,0,0,OTHERS
13,1998,ANDHRA PRADESH,Bobbili,SATYAVATHI SOMU,F,,GEN,,IND,,,,1066,0.11%,0.15%,940039,5,693268,0,0,OTHERS
14,1998,ANDHRA PRADESH,Visakhapatnam,SUBBARAMI REDDY.T,M,,GEN,,INC,,,,375782,27.00%,41.54%,1391596,1,904549,1,0,CONGRESS
15,1998,ANDHRA PRADESH,Visakhapatnam,ANANDA GAJAPATHI RAJU PUSAPATI,M,,GEN,,TDP,,,,314265,22.58%,34.74%,1391596,2,904549,0,1,OTHERS
16,1998,ANDHRA PRADESH,Visakhapatnam,D.V.SUBBA RAO,M,,GEN,,BJP,,,,195452,14.05%,21.61%,1391596,3,904549,0,0,NDA
17,1998,ANDHRA PRADESH,Visakhapatnam,APPARAO GUDIVADA,M,,GEN,,IND,,,,1757,0.13%,0.19%,1391596,4,904549,0,0,OTHERS
18,1998,ANDHRA PRADESH,Visakhapatnam,SANGAMREDDY SURAPPADU,M,,GEN,,IND,,,,1529,0.11%,0.17%,1391596,5,904549,0,0,OTHERS
19,1998,ANDHRA PRADESH,Visakhapatnam,GUNTUBOYANA NARAYANA RAO,M,,GEN,,SP,,,,1385,0.10%,0.15%,1391596,6,904549,0,0,OTHERS
20,1998,ANDHRA PRADESH,Bhadrachalam,RAMAIAH SODE,M,,ST,,CPI,,,,263141,24.07%,38.03%,1093137,1,691952,1,0,UNITED FRONT
21,1998,ANDHRA PRADESH,Bhadrachalam,KARREDDULA KAMALA KUMARI,F,,ST,,INC,,,,203701,18.63%,29.44%,1093137,2,691952,0,1,CONGRESS
22,1998,ANDHRA PRADESH,Bhadrachalam,SETTI  LAKSHMANUDU,M,,ST,,NTRTDP(LP),,,,121615,11.13%,17.58%,1093137,3,691952,0,0,NDA
23,1998,ANDHRA PRADESH,Bhadrachalam,KURASAM SUBBA RAO,M,,ST,,IND,,,,50314,4.60%,7.27%,1093137,4,691952,0,0,OTHERS
